panel,cadence,chooser,pick,drag_bp,drag_bp_IS,base4b_10bp,below_direct,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_MaxDD,BASE_OOS_CAGR,BASE_OOS_Sharpe,BASE_OOS_MaxDD,BASE_drag_bp,keep4b,keep4a
U56,W,C_ISSHARPE,BAND03@1.00,23.535355897922297,23.290843657126523,0.0,False,0.1266852163572325,1.2755286548566704,-0.15910997512978242,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,17.74752926450873,True,False
U56,W,C_IS4B,BAND03@1.00,23.535355897922297,23.290843657126523,0.0,False,0.1266852163572325,1.2755286548566704,-0.15910997512978242,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,17.74752926450873,True,False
U56,W,C_ISDRAG,TOP5@1.00,247.5083181468039,242.807360194343,0.0,False,0.2381052859178654,0.9619269550606213,-0.27908839282073816,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,17.74752926450873,False,False
U56,M,C_ISSHARPE,TOP5@1.00,103.93833166448361,97.94654766009273,0.01,False,0.21307438445824234,0.8521981299702257,-0.34606700062524376,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,17.74752926450873,False,False
U56,M,C_IS4B,TOP5@0.50,52.36137303973464,49.35476019540371,0.0,False,0.10885923117285823,0.8363507683982854,-0.19108238464740213,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,17.74752926450873,False,False
U56,M,C_ISDRAG,TOP5@1.00,103.93833166448361,97.94654766009273,0.01,False,0.21307438445824234,0.8521981299702257,-0.34606700062524376,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,17.74752926450873,False,False
U56,Q,C_ISSHARPE,TOP5@1.00,52.810813932253915,44.33564966718051,0.0,False,0.12397630670526527,0.5618601050345475,-0.38478757259184737,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,17.74752926450873,False,False
U56,Q,C_IS4B,TOP10@0.50,22.831043014348836,21.716072354714516,0.0,False,0.0979409406757239,0.8722187168089166,-0.16803405665265347,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,17.74752926450873,False,False
U56,Q,C_ISDRAG,TOP5@1.00,52.810813932253915,44.33564966718051,0.0,False,0.12397630670526527,0.5618601050345475,-0.38478757259184737,0.15210156343930548,0.8711297579081264,-0.3371725677562022,0.09454831802271624,1.2762297973468626,-0.12054949323437059,17.74752926450873,False,False
B136,W,C_ISSHARPE,BAND03@1.00,26.66067752269463,25.166982951984526,0.0,False,0.1052418687479828,1.1048029424254948,-0.16157983013208965,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,20.109291095246455,True,False
B136,W,C_IS4B,BAND03@1.00,26.66067752269463,25.166982951984526,0.0,False,0.1052418687479828,1.1048029424254948,-0.16157983013208965,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,20.109291095246455,True,False
B136,W,C_ISDRAG,TOP5@1.00,291.1563873889694,280.8078708725053,0.0,False,0.206233078123504,0.8066757231488816,-0.308750150555806,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,20.109291095246455,False,False
B136,M,C_ISSHARPE,TOP10@1.00,105.24629698601225,97.62494609667931,0.0,False,0.243219591085857,1.0025784002425753,-0.35792666087771463,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,20.109291095246455,False,False
B136,M,C_IS4B,TOP10@0.50,53.00998252608877,49.2204064724417,0.0,False,0.12053979955333749,0.9855162870495208,-0.19269034481486413,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,20.109291095246455,True,False
B136,M,C_ISDRAG,TOP5@1.00,126.44515663131246,119.83224275902677,0.0,False,0.3589470741517471,1.1633478328910822,-0.3969539109926936,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,20.109291095246455,False,False
B136,Q,C_ISSHARPE,TOP5@1.00,59.903443813842415,52.2386710714898,0.0,False,0.23548721742784928,0.8591849580776798,-0.36611212470561416,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,20.109291095246455,False,False
B136,Q,C_IS4B,TOP5@0.50,30.60524231230668,26.83958067123298,0.0,False,0.11999882551924568,0.8284258437149252,-0.1993317858865834,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,20.109291095246455,False,False
B136,Q,C_ISDRAG,TOP5@1.00,59.903443813842415,52.2386710714898,0.0,False,0.23548721742784928,0.8591849580776798,-0.36611212470561416,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.07884939392053303,1.1058878697278782,-0.12240985403190019,20.109291095246455,False,False
