universe,book,conv,f,dSharpe_S9,dSharpe_S4,conv_gap,dCAGR_S9,dCAGR_S4,toll_gap,rate_S9,rate_S4
broad,ewall,matched,0.25,0.042933602787115,0.21640342619099995,0.17346982340388495,-1.0030774273447118,-1.297026968815218,-0.2939495414705062,0.04280188310165282,0.1668457413716507
broad,ewall,matched,0.5,0.07719957945029698,0.4257227820444903,0.34852320259419334,-2.1105988510615514,-2.8938556586139974,-0.783256807552446,0.036577097259135015,0.1471126525530955
broad,ewall,matched,0.75,0.08530345713598686,0.47946171952704764,0.3941582623910608,-3.364063159041031,-4.936256868241484,-1.5721937092004534,0.02535726979641598,0.09713062596312039
broad,ewall,natural,0.25,0.05067490307110534,0.17929376399395336,0.12861886092284802,-1.3845372898857233,-1.9466069560905686,-0.5620696662048452,0.03660060544507829,0.09210578613878716
broad,ewall,natural,0.5,0.08434458413005119,0.3672721206998898,0.2829275365698386,-2.797715204479445,-3.9451180055534385,-1.1474028010739934,0.03014766620812811,0.09309534472299448
broad,ewall,natural,0.75,0.07955295507194438,0.4074023023873947,0.32784934731545035,-4.2261493031140684,-5.983963063572784,-1.7578137604587152,0.018823981209874722,0.06808235579986203
broad,top20,matched,0.25,0.03519885124332456,0.16890903149261638,0.13371018024929182,-1.5842218668978836,-1.8293945161869773,-0.24517264928909377,0.02221838492372825,0.09233056620541037
broad,top20,matched,0.5,0.0660798269327616,0.34108422211420797,0.27500439518144637,-3.306489517797262,-4.00848974295267,-0.702000225155408,0.019984889284265166,0.08509045650269369
broad,top20,matched,0.75,0.07983396634062845,0.4454260896379074,0.36559212329727897,-5.188419267411515,-6.662499023859891,-1.4740797564483765,0.01538695356446345,0.06685570805229951
broad,top20,natural,0.25,0.037490438075692745,0.1381274948380371,0.10063705676234436,-1.9781411937902282,-2.525416665608282,-0.5472754718180539,0.018952356987146597,0.05469493280815392
broad,top20,natural,0.5,0.07039163451620167,0.29574634707070424,0.22535471255450257,-3.981423967834141,-5.112753798395131,-1.1313298305609898,0.017680014759767996,0.05784482467423673
broad,top20,natural,0.75,0.07874372841500343,0.39256459565143587,0.31382086723643243,-6.006669973354528,-7.75405173785122,-1.7473817644966916,0.01310938153158224,0.05062702815550496
broad,v1,matched,0.25,0.007712202117592604,0.08401316926192537,0.07630096714433277,-0.12050134058245732,-0.5867286551531015,-0.46622731457064415,0.06400096530308105,0.14318913610926826
broad,v1,matched,0.5,0.02663130800793012,0.17307452931274458,0.14644322130481446,-0.26574642200347665,-1.320107056778852,-1.0543606347753753,0.10021323262663426,0.13110643445468567
broad,v1,matched,0.75,0.04385981506267078,0.21657427929806583,0.17271446423539505,-0.42594824034787315,-2.2733195148779917,-1.8473712745301185,0.10296982334485134,0.09526785736922216
broad,v1,natural,0.25,0.013024737488133487,0.06970697711182872,0.05668223962369523,-0.2735058337870466,-0.833211185486249,-0.5597053516992023,0.047621424771051246,0.0836606352939787
broad,v1,natural,0.5,0.03643617645828279,0.15999463511756407,0.12355845865928128,-0.5897052032866279,-1.7352203429157331,-1.1455151396291052,0.06178710354802971,0.09220421819670531
broad,v1,natural,0.75,0.04944697111619256,0.20622426387801096,0.1567772927618184,-0.9476511265045229,-2.7049271606561565,-1.7572760341516336,0.05217845442613587,0.07624022815756172
u56,ewall,matched,0.25,0.03855392947950764,0.2060135378672867,0.16745960838777907,-0.9484479121356193,-1.2570587078224227,-0.3086107956868034,0.04064949586181891,0.16388537511041135
u56,ewall,matched,0.5,0.06657996531079169,0.3907090491685177,0.324129083857726,-1.9951166742822046,-2.794580246182421,-0.7994635719002163,0.03337146452086346,0.13980956521189605
u56,ewall,matched,0.75,0.07080175064597394,0.42455667610854475,0.3537549254625708,-3.171120558360352,-4.7468142704981675,-1.5756937121378156,0.02232704476003348,0.08944033870193714
u56,ewall,natural,0.25,0.04702003274453892,0.17098698423131498,0.12396695148677606,-1.3044716237066156,-1.8804872165994135,-0.5760155928927979,0.03604527065980397,0.09092695909973797
u56,ewall,natural,0.5,0.07512559866685398,0.3320995525686917,0.25697395390183775,-2.641698906373402,-3.8082205089777332,-1.1665216026043312,0.028438365358597395,0.08720596714023776
u56,ewall,natural,0.75,0.06822752356277662,0.3462872127777157,0.27805968921493907,-3.993746444386659,-5.769926900085043,-1.776180455698384,0.017083589184454268,0.060015875205041466
u56,top20,matched,0.25,0.04062774279541248,0.19658879545004382,0.15596105265463134,-1.57020571032922,-1.8312647725421183,-0.2610590622128983,0.025874153003108233,0.10735137725449931
u56,top20,matched,0.5,0.068127516260436,0.3808686957636963,0.3127411795032603,-3.2201657096203373,-3.9415344818906295,-0.7213687722702922,0.02115652497537723,0.09662954808935367
u56,top20,matched,0.75,0.0687908856733841,0.4512411702654513,0.3824502845920672,-4.964133909047397,-6.479889676835393,-1.5157557677879963,0.013857580583797118,0.06963716865096777
u56,top20,natural,0.25,0.04835078177853869,0.17053241272261133,0.12218163094407264,-1.89619121346436,-2.457894893335788,-0.5617036798714281,0.025498895594079533,0.0693814911227426
u56,top20,natural,0.5,0.08074710900572968,0.3384316820454599,0.25768457303973025,-3.799349045736111,-4.953020467321045,-1.1536714215849342,0.02125287991013871,0.06832834313493327
u56,top20,natural,0.75,0.07777375528733577,0.3831782165592741,0.3054044612719383,-5.70794807108761,-7.477360389472643,-1.769412318385033,0.013625519068977186,0.051245118143395864
u56,v1,matched,0.25,0.01577239965158994,0.10042533286166577,0.08465293321007583,-0.06242293148399636,-0.4958792062334405,-0.43345627474944415,0.25266996080813,0.2025197499698938
u56,v1,matched,0.5,0.03685047004410391,0.20169740549191462,0.1648469354478107,-0.18207821780475975,-1.1687144299428187,-0.986636212138059,0.2023881301585356,0.17258057257133635
u56,v1,matched,0.75,0.049923226820640654,0.24756865577252518,0.19764542895188453,-0.3719433005235695,-2.1078953768500774,-1.735952076326508,0.13422268058159872,0.11744826545541275
u56,v1,natural,0.25,0.009485165815492191,0.07220278352515042,0.06271761770965822,-0.30025122647252545,-0.8590072222479872,-0.5587559957754618,0.03159076459712691,0.08405375607459813
u56,v1,natural,0.5,0.02513772592954855,0.15602099565958216,0.1308832697300336,-0.6360388546927886,-1.782247478755572,-1.1462086240627833,0.03952231179601481,0.0875417120906921
u56,v1,natural,0.75,0.0332682799800208,0.18835154329525483,0.15508326331523403,-1.0061008941456562,-2.7689599098470907,-1.7628590157014346,0.033066544492310584,0.06802248838108173
