scope,n,pearson,spearman
ALL DRAWS,144,-0.01615187689866893,0.07093481231412266
origin=U56,36,0.3220639871490511,0.364993564993565
origin=B136,36,-0.04390330916463676,-0.046846846846846854
origin=SMALL,36,-0.130911682912952,-0.11274131274131274
origin=POOL,36,-0.12980945933126706,-0.1590733590733591
k=20,48,0.0971730848504706,0.12396873643074251
k=36,48,-0.1412651873400099,0.10594876248371689
k=50,48,-0.08741298491841758,0.10681719496309162
"k=20,U56",12,0.06545364357235418,0.06993006993006995
"k=20,B136",12,-0.412591538324577,-0.41958041958041964
"k=20,SMALL",12,0.11524575876236702,0.027972027972027972
"k=20,POOL",12,-0.038933622466310346,0.31468531468531474
"k=36,U56",12,0.7609616267020198,0.6993006993006995
"k=36,B136",12,0.237620045188939,0.31468531468531474
"k=36,SMALL",12,-0.3952472585466929,-0.16783216783216784
"k=36,POOL",12,-0.32014213115179985,-0.2867132867132868
"k=50,U56",12,-0.3615025310021508,-0.43356643356643365
"k=50,B136",12,0.2828581293730587,0.2447552447552448
"k=50,SMALL",12,-0.4158377634013406,-0.5594405594405596
"k=50,POOL",12,-0.12562364872200793,-0.006993006993006993
