panel,arm,window,slope,intercept,r,exp_lo,exp_hi,n
U56,GROSS,FULL,0.16399041255516103,-0.0009485203521202239,0.9999910645257892,0.17770611566861877,1.064849053994889,6
U56,GROSS,OOS,0.18094955289456757,-0.0014683898648596054,0.9999802212054875,0.17770611566861877,1.064849053994889,6
U56,BIN,FULL,0.1107423905080221,0.02615890770332225,0.9928999888750152,0.19631401529894393,0.5914769524637687,13
U56,BIN,OOS,0.10587449083420136,0.03774483705320835,0.9903300740366772,0.19631401529894393,0.5914769524637687,13
B136,GROSS,FULL,0.1503446173260469,-0.00035026329695824577,0.9999993277337156,0.17746773485061215,1.0636999936259328,6
B136,GROSS,OOS,0.14793652485929942,-0.0002232019497880734,0.9999998112321486,0.17746773485061215,1.0636999936259328,6
B136,BIN,FULL,0.12304469188400506,0.014295533211387424,0.9995049822428811,0.2287205005598284,0.585907417467398,13
B136,BIN,OOS,0.10443418220076675,0.023752565670084554,0.9993430497840661,0.2287205005598284,0.585907417467398,13
SMALL,GROSS,FULL,0.09890223440465051,0.0014660288253168015,0.999838452152338,0.13713134508090094,0.8224284204685393,6
SMALL,GROSS,OOS,0.08180842927661792,0.002033025633148838,0.9995606332200564,0.13713134508090094,0.8224284204685393,6
SMALL,BIN,FULL,0.04838505737543954,0.023095596396696356,0.982182288860255,0.2478282624695193,0.45443512116997714,13
SMALL,BIN,OOS,0.00611557786664313,0.034426735879066236,0.5146333206173107,0.2478282624695193,0.45443512116997714,13
