char,flavour,level,n,achieved,prem_FULL,prem_IS@2015,prem_OOS@2015,prem_IS@2016,prem_OOS@2016,prem_IS@2017,prem_OOS@2017,sd_prem_FULL,sd_prem_IS@2015,sd_prem_OOS@2015,sd_prem_IS@2016,sd_prem_OOS@2016,sd_prem_IS@2017,sd_prem_OOS@2017
beta,BONLY,0.550957,6,0.6754983463094439,-0.13941937590216036,0.00561630112864889,-0.20192703376489304,-0.06503857813315705,-0.18004125998701745,-0.07932989152535859,-0.18013154928554884,0.012398967697956871,0.05205369048508609,0.011913054369519194,0.050575253074906505,0.016515096389149945,0.050490694019711,0.022039286307664874
beta,BONLY,0.846068,6,0.8826519058016694,-0.08958382955922876,-0.09696338431414907,-0.08815189605888375,-0.12228620069622594,-0.07170681367324923,-0.12037259527541537,-0.07352830258892025,0.036299692733815676,0.08074183735749517,0.03673796349221292,0.06268344858088225,0.04169906425770798,0.060858698136414494,0.03426752376949986
beta,BONLY,1.010499,6,1.0198682273740924,-0.05495994463043193,-0.04485223364249666,-0.06045944974680629,-0.07779685149425308,-0.043446784799809186,-0.0731810458829877,-0.04731332004941704,0.0355786053105641,0.04015023327244238,0.03570132394050762,0.03316711834456216,0.038873263437498216,0.03500498951672092,0.04097837048669746
beta,BONLY,1.185889,6,1.1215395653001081,-0.11291178795795281,-0.10387483920452124,-0.11714159858053562,-0.13912584225452623,-0.09973763662428854,-0.11498888240740572,-0.11235304222057392,0.03686586714297323,0.026305627369360568,0.05494826680674367,0.01527118834094688,0.05251090173332541,0.014664823303996818,0.05945692387974099
beta,POOL,0.550957,6,0.6531841066551595,-0.18321554741975574,-0.2637635894114618,-0.16478345042945217,-0.22817149450997942,-0.1694283443310279,-0.2124141329376259,-0.17498793044351746,0.13358979295083367,0.28181631895503806,0.10631731165533594,0.22336831936008103,0.11758117302856215,0.22973744327605092,0.11188593662786465
beta,POOL,0.846068,6,0.8875761808075181,-0.03305510120617114,-0.06785864387264116,-0.022129143350856095,-0.10082009826776679,-0.001803502819600002,-0.12519883608278387,0.019675950589817307,0.14255779550089565,0.2626395427585666,0.12635327355327486,0.21804499230654983,0.13783781181652713,0.2019192457445646,0.15056592760684165
beta,POOL,1.010499,6,1.0085434012044523,-0.07220563977313216,-0.17998601913215442,-0.03573423077128592,-0.21442394941896523,-0.0029380289329730414,-0.2005100481223768,0.005641987571325928,0.09871136444474382,0.180271821666728,0.17247101463694373,0.14393859799603598,0.1794113448838937,0.11923650167953251,0.18437814283091242
beta,POOL,1.185889,6,1.1307759629515155,-0.054082385891768114,-0.08466644244792725,-0.04432303040010999,-0.13692997506874038,-0.01614643943255006,-0.1362316196250195,-0.008158141835234252,0.05258599957329536,0.11236086123099773,0.08450386047455385,0.1066690431651799,0.08082935290284018,0.08964194035100083,0.07837604190334879
beta,POOL,1.477005,6,1.383469591559803,-0.10155160605459003,-0.22516371260412846,-0.055385625303323215,-0.25189679710112395,-0.032911169950406605,-0.23522456946600803,-0.03069732908348918,0.2096538036830752,0.3324679913868342,0.2113773154211507,0.2940460978196122,0.2208452407753726,0.2825537873575014,0.23153488114511406
beta,SONLY,0.550957,6,0.6631340439946763,-0.24870571495996188,-0.4890115375790918,-0.1896985924208715,-0.4729604719243204,-0.17564518537338292,-0.45073072413139265,-0.17246869937048884,0.08155310508282478,0.2571146399073318,0.06346832635114937,0.21202856725650918,0.06270986261402176,0.21908527452348625,0.05074964175826098
beta,SONLY,0.846068,6,0.8993197298024889,-0.15244228704302976,-0.18724119756666865,-0.13908699959012713,-0.1817617033550686,-0.13440314551771285,-0.21033037363167828,-0.11483174367124738,0.08534081356123047,0.21947596172734457,0.10897628757339146,0.2087833955759631,0.1174298238914705,0.20542642253025803,0.11756555980734884
