Date,n_gated
2009-01-30,7
2009-02-27,6
2009-03-31,9
2009-04-30,21
2009-05-29,27
2009-06-30,40
2009-07-31,43
2009-08-31,43
2009-09-30,43
2009-10-30,44
2009-11-30,47
2009-12-31,45
2010-01-29,42
2010-02-26,47
2010-03-31,47
2010-04-30,46
2010-05-28,24
2010-06-30,15
2010-07-30,26
2010-08-31,16
2010-09-30,39
2010-10-29,40
2010-11-30,39
2010-12-31,46
2011-01-31,44
2011-02-28,45
2011-03-31,45
2011-04-29,47
2011-05-31,47
2011-06-30,40
2011-07-29,38
2011-08-31,18
2011-09-30,15
2011-10-31,26
2011-11-30,25
2011-12-30,28
2012-01-31,41
2012-02-29,46
2012-03-30,46
2012-04-30,44
2012-05-31,32
2012-06-29,39
2012-07-31,35
2012-08-31,44
2012-09-28,44
2012-10-31,40
2012-11-30,41
2012-12-31,37
2013-01-31,41
2013-02-28,40
2013-03-28,46
2013-04-30,44
2013-05-31,39
2013-06-28,36
2013-07-31,36
2013-08-30,36
2013-09-30,38
2013-10-31,39
2013-11-29,41
2013-12-31,42
2014-01-31,37
2014-02-28,48
2014-03-31,47
2014-04-30,43
2014-05-30,45
2014-06-30,50
2014-07-31,43
2014-08-29,46
2014-09-30,35
2014-10-31,38
2014-11-28,39
2014-12-31,36
2015-01-30,34
2015-02-27,41
2015-03-31,38
2015-04-30,40
2015-05-29,38
2015-06-30,28
2015-07-31,30
2015-08-31,15
2015-09-30,15
2015-10-30,27
2015-11-30,28
2015-12-31,23
2016-01-29,14
2016-02-29,19
2016-03-31,37
2016-04-29,39
2016-05-31,46
2016-06-30,42
2016-07-29,50
2016-08-31,50
2016-09-30,50
2016-10-31,42
2016-11-30,33
2016-12-30,36
2017-01-31,42
2017-02-28,45
2017-03-31,44
2017-04-28,44
2017-05-31,44
2017-06-30,44
2017-07-31,46
2017-08-31,47
2017-09-29,51
2017-10-31,47
2017-11-30,46
2017-12-29,45
2018-01-31,47
2018-02-28,36
2018-03-29,33
2018-04-30,30
2018-05-31,34
2018-06-29,36
2018-07-31,40
2018-08-31,44
2018-09-28,38
2018-10-31,19
2018-11-30,20
2018-12-31,13
2019-01-31,26
2019-02-28,36
2019-03-29,40
2019-04-30,46
2019-05-31,27
2019-06-28,46
2019-07-31,46
2019-08-30,39
2019-09-30,42
2019-10-31,45
2019-11-29,48
2019-12-31,51
2020-01-31,49
2020-02-28,21
2020-03-31,5
2020-04-30,23
2020-05-29,36
2020-06-30,33
2020-07-31,42
2020-08-31,44
2020-09-30,44
2020-10-30,44
2020-11-30,43
2020-12-31,49
2021-01-29,46
2021-02-26,43
2021-03-31,42
2021-04-30,46
2021-05-28,47
2021-06-30,50
2021-07-30,50
2021-08-31,52
2021-09-30,42
2021-10-29,47
2021-11-30,38
2021-12-31,42
2022-01-31,28
2022-02-28,20
2022-03-31,28
2022-04-29,15
2022-05-31,12
2022-06-30,8
2022-07-29,13
2022-08-31,10
2022-09-30,4
2022-10-31,11
2022-11-30,29
2022-12-30,22
2023-01-31,40
2023-02-28,30
2023-03-31,42
2023-04-28,43
2023-05-31,36
2023-06-30,48
2023-07-31,49
2023-08-31,42
2023-09-29,34
2023-10-31,26
2023-11-30,47
2023-12-29,51
2024-01-31,48
2024-02-29,44
2024-03-28,52
2024-04-30,48
2024-05-31,50
2024-06-28,52
2024-07-31,48
2024-08-30,50
2024-09-30,50
2024-10-31,48
2024-11-29,48
2024-12-31,33
2025-01-31,41
2025-02-28,42
2025-03-31,28
2025-04-30,19
2025-05-30,36
2025-06-30,41
2025-07-31,42
2025-08-29,48
2025-09-30,47
2025-10-31,43
2025-11-28,44
2025-12-31,45
2026-01-30,44
2026-02-27,42
2026-03-31,29
2026-04-30,41
2026-05-29,42
2026-06-30,39
2026-07-31,33
2026-08-31,38
2026-09-18,35
