cost_bps,universe,bar,n_admitted,books,mean_OOS_Sharpe,mean_OOS_CAGR,mean_OOS_MaxDD,frac_beat_SPY
10,u56,B0,4,"ew-band3-g085,EWall+vol60dg,top20+50S4,top20+50S3",1.2129405272819578,0.12974997268383154,-0.153697670531715,1.0
10,u56,B1,0,,,,,
10,u56,B2,0,,,,,
10,u56,B3,0,,,,,
10,broad,B0,7,"frac085,ew-band3,ew-band3-g085,EWall,EWall+vol60dg,top20+50S4,top20+50S3",1.0410535552801714,0.11459210657710285,-0.17277755660444943,1.0
10,broad,B1,7,"frac085,ew-band3,ew-band3-g085,EWall,EWall+vol60dg,top20+50S4,top20+50S3",1.0410535552801714,0.11459210657710285,-0.17277755660444943,1.0
10,broad,B2,0,,,,,
10,broad,B3,5,"frac085,ew-band3,ew-band3-g085,EWall,EWall+vol60dg",1.061532948140187,0.1152349631279177,-0.18141653304895441,1.0
25,u56,B0,1,EWall+vol60dg,1.1640489707441497,0.11914145374464757,-0.16898088701934966,1.0
25,u56,B1,0,,,,,
25,u56,B2,0,,,,,
25,u56,B3,0,,,,,
25,broad,B0,1,EWall+vol60dg,1.1020383628219215,0.11769385576362001,-0.18709252316824732,1.0
25,broad,B1,1,EWall+vol60dg,1.1020383628219215,0.11769385576362001,-0.18709252316824732,1.0
25,broad,B2,0,,,,,
25,broad,B3,1,EWall+vol60dg,1.1020383628219215,0.11769385576362001,-0.18709252316824732,1.0
