rule,n_draw,path,passes,clear_with_P1,never_clear,undetermined,E_clearing
MAXN,20,4a,37,0,11,8,2.6051946934375256
MAXN,20,4b,28,0,16,3,3.4584651370493207
MAXN,50,4a,37,0,22,3,0.8347894314197336
MAXN,50,4b,28,0,21,3,2.525414529471261
MAXN,100,4a,37,0,27,2,0.21609154497024713
MAXN,100,4b,28,0,22,3,1.9188527226551229
MAXN,200,4a,37,0,29,0,0.01527785672289546
MAXN,200,4b,28,0,23,3,1.2018433101525425
PVAL,20,4a,37,0,11,8,2.605194693437523
PVAL,20,4b,28,0,16,3,3.4584651370493207
PVAL,50,4a,37,0,21,4,2.1183647584497636
PVAL,50,4b,28,0,21,2,3.438448621673785
PVAL,100,4a,37,0,24,2,2.818543200003081
PVAL,100,4b,28,2,22,2,3.7690608979682274
PVAL,200,4a,37,0,27,1,2.8476037148480433
PVAL,200,4b,28,3,22,2,3.754879262210748
