panel,cost,chooser,pick,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,base_Sharpe,base_H1,base_H2,base_MaxDD,L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR,pass4b,pass4bp,pass4a,fail4b,fail4bp
U56,0.0,IS_SHARPE,U56-band0.08-g1.00,1.1376599186212506,0.10764565650644431,0.12163246454187004,1.176821069551332,-0.19037400936037263,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2257736099375898,1.2574264845013854,1.2009054714613714,-0.12029819641900041,True,True,True,True,True,True,True,False,-,-
U56,0.0,IS_LEGS,U56-band0.08-g1.00,1.1376599186212506,0.10764565650644431,0.12163246454187004,1.176821069551332,-0.19037400936037263,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2257736099375898,1.2574264845013854,1.2009054714613714,-0.12029819641900041,True,True,True,True,True,True,True,False,-,-
U56,0.0,IS_CAGR,U56-qroll-q0.17-w1008-d0.50,1.1038085450791386,0.13299351736707954,0.1667928733284516,1.37246057737741,-0.15517532588243754,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2257736099375898,1.2574264845013854,1.2009054714613714,-0.12029819641900041,True,True,True,True,True,True,True,False,-,-
U56,10.0,IS_SHARPE,U56-band0.08-g1.00,1.1226115282697102,0.10609194590800497,0.11989738418987961,1.161541176122481,-0.19050611381992255,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,1.2321991121974933,1.175958130760422,-0.12054949323437114,True,True,True,True,True,True,True,False,-,-
U56,10.0,IS_LEGS,U56-band0.08-g1.00,1.1226115282697102,0.10609194590800497,0.11989738418987961,1.161541176122481,-0.19050611381992255,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,1.2321991121974933,1.175958130760422,-0.12054949323437114,True,True,True,True,True,True,True,False,-,-
U56,10.0,IS_CAGR,U56-qroll-q0.17-w1008-d0.50,1.0219680490358911,0.12197620669731224,0.15599769651672202,1.2933308155679046,-0.15593611048389855,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.2007324826082908,1.2321991121974933,1.175958130760422,-0.12054949323437114,True,True,True,True,True,True,True,False,-,-
U56,25.0,IS_SHARPE,U56-band0.08-g1.00,1.1000246306694987,0.10376528794106665,0.11729956966866739,1.1386066702144424,-0.19070424727775315,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.1631323159318776,1.1943168081643298,1.138500804792136,-0.12092638054158922,True,True,True,True,True,True,True,False,-,-
U56,25.0,IS_LEGS,U56-band0.08-g1.00,1.1000246306694987,0.10376528794106665,0.11729956966866739,1.1386066702144424,-0.19070424727775315,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.1631323159318776,1.1943168081643298,1.138500804792136,-0.12092638054158922,True,True,True,True,True,True,True,False,-,-
U56,25.0,IS_CAGR,U56-qroll-q0.17-w1008-d0.50,0.898892528999977,0.10564367088171989,0.1399859955306686,1.1742387235913283,-0.15707670734776413,0.15210156343930548,0.8711297579081264,-0.3371725677562022,1.1631323159318776,1.1943168081643298,1.138500804792136,-0.12092638054158922,True,True,True,True,True,True,True,False,-,-
B136,0.0,IS_SHARPE,B136-qroll-q0.17-w504-d0.50,1.1797105872836824,0.1504514326155002,0.140572353524673,1.2004340699790108,-0.17067696647738595,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.1271042122231456,1.2604974666988875,0.9958304623036928,-0.12211590879264533,True,True,True,True,True,True,True,False,-,-
B136,0.0,IS_LEGS,B136-band0.08-g1.00,1.1566366865412308,0.11968149100022618,0.11239412843433483,1.1148157479311145,-0.19479656207670992,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.1271042122231456,1.2604974666988875,0.9958304623036928,-0.12211590879264533,True,True,True,True,True,True,True,False,-,-
B136,0.0,IS_CAGR,B136-qroll-q0.12-w1008-d0.50,1.1375083772836736,0.15422603766450327,0.15427063286650533,1.237782781151107,-0.17067696647738617,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.1271042122231456,1.2604974666988875,0.9958304623036928,-0.12211590879264533,True,True,True,True,True,True,True,False,-,-
B136,10.0,IS_SHARPE,B136-band0.08-g1.00,1.1420690350363973,0.11802283624233345,0.11047139028283737,1.0974353329692366,-0.19499148724221482,0.15331427255204866,0.8767278433896203,-0.3371595330739301,1.0992531359665725,1.2348466062129893,0.965815797479691,-0.12240985403190008,True,True,True,True,True,True,True,False,-,-
