uid,bar,stated_N,K,N_eff,resolvable
3bdef279df,B_TIGHT,447.0,,,False
3bdef279df,B_MID,447.0,,,False
3bdef279df,B_LOOSE,447.0,,,False
fe6d38885b,B_TIGHT,21.0,19.0,7.0,True
fe6d38885b,B_MID,21.0,19.0,5.0,True
fe6d38885b,B_LOOSE,21.0,19.0,3.0,True
350ab2bcf0,B_TIGHT,120.0,,,False
350ab2bcf0,B_MID,120.0,,,False
350ab2bcf0,B_LOOSE,120.0,,,False
5765985342,B_TIGHT,66.0,19.0,7.0,True
5765985342,B_MID,66.0,19.0,5.0,True
5765985342,B_LOOSE,66.0,19.0,3.0,True
5da8d767da,B_TIGHT,216.0,9.0,6.0,True
5da8d767da,B_MID,216.0,9.0,4.0,True
5da8d767da,B_LOOSE,216.0,9.0,2.0,True
9538b63895,B_TIGHT,20.0,,,False
9538b63895,B_MID,20.0,,,False
9538b63895,B_LOOSE,20.0,,,False
02c533627a,B_TIGHT,9.0,,,False
02c533627a,B_MID,9.0,,,False
02c533627a,B_LOOSE,9.0,,,False
95fe1b5c1f,B_TIGHT,10.0,,,False
95fe1b5c1f,B_MID,10.0,,,False
95fe1b5c1f,B_LOOSE,10.0,,,False
8e6aebe75c,B_TIGHT,66.0,9.0,1.0,True
8e6aebe75c,B_MID,66.0,9.0,1.0,True
8e6aebe75c,B_LOOSE,66.0,9.0,1.0,True
0c7880db73,B_TIGHT,4.0,,,False
0c7880db73,B_MID,4.0,,,False
0c7880db73,B_LOOSE,4.0,,,False
fdb98b78f5,B_TIGHT,144.0,,,False
fdb98b78f5,B_MID,144.0,,,False
fdb98b78f5,B_LOOSE,144.0,,,False
2fb8796a08,B_TIGHT,48.0,,,False
2fb8796a08,B_MID,48.0,,,False
2fb8796a08,B_LOOSE,48.0,,,False
4a0169f00c,B_TIGHT,6.0,,,False
4a0169f00c,B_MID,6.0,,,False
4a0169f00c,B_LOOSE,6.0,,,False
d0d070aaab,B_TIGHT,4.0,1.0,1.0,True
d0d070aaab,B_MID,4.0,1.0,1.0,True
d0d070aaab,B_LOOSE,4.0,1.0,1.0,True
daaa7d3c1a,B_TIGHT,880.0,,,False
daaa7d3c1a,B_MID,880.0,,,False
daaa7d3c1a,B_LOOSE,880.0,,,False
e4a9296fba,B_TIGHT,840.0,,,False
e4a9296fba,B_MID,840.0,,,False
e4a9296fba,B_LOOSE,840.0,,,False
1f500913b0,B_TIGHT,118.0,,,False
1f500913b0,B_MID,118.0,,,False
1f500913b0,B_LOOSE,118.0,,,False
398bee0a93,B_TIGHT,310.0,,,False
398bee0a93,B_MID,310.0,,,False
398bee0a93,B_LOOSE,310.0,,,False
