panel,gross,denom,cost,nD,nW,passD,passW,M,books_D,books_W,one_book_D,one_book_W,M_in_D_books
U56,0.5,DEN_FULL,0.0,12,36,0.0,0.0,0.0,0,0,0.08333333333333333,0.027777777777777776,0.0
U56,0.5,DEN_FULL,2.0,12,36,0.0,0.0,0.0,0,0,0.08333333333333333,0.027777777777777776,0.0
U56,0.5,DEN_FULL,5.0,12,36,0.0,0.0,0.0,0,0,0.08333333333333333,0.027777777777777776,0.0
U56,0.5,DEN_FULL,7.5,12,36,0.0,0.0,0.0,0,0,0.08333333333333333,0.027777777777777776,0.0
U56,0.5,DEN_FULL,10.0,12,36,0.0,0.0,0.0,0,0,0.08333333333333333,0.027777777777777776,0.0
U56,0.5,DEN_FULL,15.0,12,36,0.0,0.0,0.0,0,0,0.08333333333333333,0.027777777777777776,0.0
U56,0.5,DEN_FULL,25.0,12,36,0.0,0.0,0.0,0,0,0.08333333333333333,0.027777777777777776,0.0
U56,0.5,DEN_FULL,50.0,12,36,0.0,0.0,0.0,0,0,0.08333333333333333,0.027777777777777776,0.0
U56,0.5,DEN_CANON,0.0,6,6,0.0,0.0,0.0,0,0,0.16666666666666666,0.16666666666666666,0.0
U56,0.5,DEN_CANON,2.0,6,6,0.0,0.0,0.0,0,0,0.16666666666666666,0.16666666666666666,0.0
U56,0.5,DEN_CANON,5.0,6,6,0.0,0.0,0.0,0,0,0.16666666666666666,0.16666666666666666,0.0
U56,0.5,DEN_CANON,7.5,6,6,0.0,0.0,0.0,0,0,0.16666666666666666,0.16666666666666666,0.0
U56,0.5,DEN_CANON,10.0,6,6,0.0,0.0,0.0,0,0,0.16666666666666666,0.16666666666666666,0.0
U56,0.5,DEN_CANON,15.0,6,6,0.0,0.0,0.0,0,0,0.16666666666666666,0.16666666666666666,0.0
U56,0.5,DEN_CANON,25.0,6,6,0.0,0.0,0.0,0,0,0.16666666666666666,0.16666666666666666,0.0
U56,0.5,DEN_CANON,50.0,6,6,0.0,0.0,0.0,0,0,0.16666666666666666,0.16666666666666666,0.0
U56,0.5,DEN_PHASE,0.0,6,30,0.0,0.0,0.0,0,0,0.16666666666666666,0.03333333333333333,0.0
U56,0.5,DEN_PHASE,2.0,6,30,0.0,0.0,0.0,0,0,0.16666666666666666,0.03333333333333333,0.0
U56,0.5,DEN_PHASE,5.0,6,30,0.0,0.0,0.0,0,0,0.16666666666666666,0.03333333333333333,0.0
U56,0.5,DEN_PHASE,7.5,6,30,0.0,0.0,0.0,0,0,0.16666666666666666,0.03333333333333333,0.0
U56,0.5,DEN_PHASE,10.0,6,30,0.0,0.0,0.0,0,0,0.16666666666666666,0.03333333333333333,0.0
U56,0.5,DEN_PHASE,15.0,6,30,0.0,0.0,0.0,0,0,0.16666666666666666,0.03333333333333333,0.0
U56,0.5,DEN_PHASE,25.0,6,30,0.0,0.0,0.0,0,0,0.16666666666666666,0.03333333333333333,0.0
U56,0.5,DEN_PHASE,50.0,6,30,0.0,0.0,0.0,0,0,0.16666666666666666,0.03333333333333333,0.0
U56,0.75,DEN_FULL,0.0,12,36,0.8333333333333334,0.8333333333333334,0.0,10,30,0.08333333333333333,0.027777777777777776,0.0
U56,0.75,DEN_FULL,2.0,12,36,0.8333333333333334,0.8333333333333334,0.0,10,30,0.08333333333333333,0.027777777777777776,0.0
U56,0.75,DEN_FULL,5.0,12,36,0.8333333333333334,0.8333333333333334,0.0,10,30,0.08333333333333333,0.027777777777777776,0.0
U56,0.75,DEN_FULL,7.5,12,36,0.6666666666666666,0.8333333333333334,0.16666666666666674,8,30,0.08333333333333333,0.027777777777777776,2.000000000000001
U56,0.75,DEN_FULL,10.0,12,36,0.3333333333333333,0.8333333333333334,0.5,4,30,0.08333333333333333,0.027777777777777776,6.0
U56,0.75,DEN_FULL,15.0,12,36,0.0,0.8333333333333334,0.8333333333333334,0,30,0.08333333333333333,0.027777777777777776,10.0
U56,0.75,DEN_FULL,25.0,12,36,0.0,0.2222222222222222,0.2222222222222222,0,8,0.08333333333333333,0.027777777777777776,2.6666666666666665
