repair,stat,tape_kind,med_LSENS,cells
P_RAW,MAXDD,S_PERM,2.438982842976797,150
P_RAW,ULCER,S_PERM,3.2026639156784276,150
P_RAW,CALMAR,S_PERM,4.195516033645517,150
P_RAW,MAXDD,REAL,2.441499182844461,162
P_FREEZE,MAXDD,S_PERM,1.0,150
P_FREEZE,ULCER,S_PERM,1.0,150
P_FREEZE,CALMAR,S_PERM,1.0,150
P_FREEZE,MAXDD,REAL,1.0,162
P_CMATCH,MAXDD,S_PERM,1.6889708388559372,150
P_CMATCH,ULCER,S_PERM,2.1109542648156414,150
P_CMATCH,CALMAR,S_PERM,1.963405272653596,150
P_CMATCH,MAXDD,REAL,1.4763460196289564,162
P_CMNORM,MAXDD,S_PERM,1.44911163760247,150
P_CMNORM,ULCER,S_PERM,1.8834855751333075,150
P_CMNORM,CALMAR,S_PERM,2.1229730379505014,150
P_CMNORM,MAXDD,REAL,1.2663979922481092,162
P_ELAST,MAXDD,S_PERM,1.4131441885551665,150
P_ELAST,ULCER,S_PERM,2.400086172068442,150
P_ELAST,CALMAR,S_PERM,3.6842527261340385,150
P_ELAST,MAXDD,REAL,1.2585307792307763,162
