cut,n_levels,n_FAIL,fail_rate,min,max
POOLED (no cut),1,0,0.0,-0.2851856512018089,-0.2851856512018089
panel (3),3,0,0.0,-0.34625872216909337,-0.24066209333352231
cadence (5),5,1,0.2,-0.4627925843606193,-0.03980005192353084
panel x cadence (15),15,4,0.26666666666666666,-0.6871451294249967,0.07265823770689217
panel x cadence x theta = cells (135),135,78,0.5777777777777777,-1.281609381024417,0.7654905603696989
