panel,cost,folds,agree,share
U56,0,9,0,0.0
U56,10,9,0,0.0
U56,25,9,0,0.0
U56,50,9,0,0.0
U56,75,9,0,0.0
U56,100,9,0,0.0
U56,150,9,0,0.0
U56,200,9,0,0.0
B135,0,9,1,0.1111111111111111
B135,10,9,2,0.2222222222222222
B135,25,9,2,0.2222222222222222
B135,50,9,1,0.1111111111111111
B135,75,9,1,0.1111111111111111
B135,100,9,1,0.1111111111111111
B135,150,9,0,0.0
B135,200,9,0,0.0
SMALL663,0,9,0,0.0
SMALL663,10,9,0,0.0
SMALL663,25,9,0,0.0
SMALL663,50,9,0,0.0
SMALL663,75,9,0,0.0
SMALL663,100,9,0,0.0
SMALL663,150,9,0,0.0
SMALL663,200,9,0,0.0
