census,quantity,level,matcher,numer,denom,value,committed
871,placebo-bearing units,FILE,PROSE,,70,70.0,70.0
871,placebo-bearing units,FILE,FAMILY,,90,90.0,70.0
871,placebo-bearing units,RUN,PROSE,,44,44.0,70.0
871,placebo-bearing units,RUN,FAMILY,,48,48.0,70.0
880,re-priceable share,FILE,PROSE,5.0,79,0.06329113924050633,0.07142857142857142
880,re-priceable share,FILE,FAMILY,29.0,108,0.26851851851851855,0.07142857142857142
880,re-priceable share,RUN,PROSE,5.0,48,0.10416666666666667,0.07142857142857142
880,re-priceable share,RUN,FAMILY,18.0,52,0.34615384615384615,0.07142857142857142
514,vintage-token share,FILE,PROSE,494.0,6962,0.0709566216604424,0.01982029598308668
514,vintage-token share,FILE,FAMILY,494.0,6962,0.0709566216604424,0.01982029598308668
514,vintage-token share,RUN,PROSE,209.0,954,0.2190775681341719,0.01982029598308668
514,vintage-token share,RUN,FAMILY,209.0,954,0.2190775681341719,0.01982029598308668
