seed,n_a,n_b,rate_a,rate_b,gap
0,3,4,0.08974358974358974,0.046059733717164444,-0.0436838560264253
1,3,4,0.05002253267237494,0.059674502712477394,0.009651970040102452
2,3,4,0.042091836734693876,0.05667060212514758,0.014578765390453705
3,3,4,0.042091836734693876,0.05667060212514758,0.014578765390453705
4,3,4,0.055328798185941046,0.049107142857142856,-0.00622165532879819
5,3,4,0.06646825396825397,0.042195256480970764,-0.024272997487283204
6,3,4,0.05690072639225181,0.05105465004793864,-0.005846076344313174
7,3,4,0.04308849045691151,0.06422305764411028,0.02113456718719877
8,3,4,0.043683589138134596,0.06315144083384426,0.019467851695709665
9,3,4,0.02817824377457405,0.06069476971116315,0.0325165259365891
10,3,4,0.059691482226693494,0.04798255179934569,-0.011708930427347802
11,3,4,0.059691482226693494,0.04798255179934569,-0.011708930427347802
12,3,4,0.04628890662410216,0.057432432432432436,0.011143525808330279
13,3,4,0.05690072639225181,0.05105465004793864,-0.005846076344313174
14,3,4,0.043683589138134596,0.06315144083384426,0.019467851695709665
15,3,4,0.08974358974358974,0.046059733717164444,-0.0436838560264253
16,3,4,0.04748603351955307,0.056708494208494206,0.009222460688941135
17,3,4,0.057794057794057795,0.04032258064516129,-0.017471477148896505
18,3,4,0.05572998430141287,0.051682106289614824,-0.0040478780117980465
19,3,4,0.06646825396825397,0.042195256480970764,-0.024272997487283204
