slice,n,n_pass,rate,med_pass,med_fail,delta,inverted,spearman_turn_pass,rung,gross_nom,gated
0 bps | g=0.50 gated=False,30,0,,,,,,,0,0.5,False
0 bps | g=0.50 gated=True,30,0,,,,,,,0,0.5,True
0 bps | g=0.75 gated=False,30,12,0.4,8.290285015346907,13.646692777028743,-5.356407761681837,False,-0.5188332937002361,0,0.75,False
0 bps | g=0.75 gated=True,30,12,0.4,7.458860544115584,13.38492726861254,-5.926066724496955,False,-0.5266944042108457,0,0.75,True
0 bps | g=1.00 gated=False,30,3,,,,,,,0,1.0,False
0 bps | g=1.00 gated=True,30,3,,,,,,,0,1.0,True
5 bps | g=0.50 gated=False,30,0,,,,,,,5,0.5,False
5 bps | g=0.50 gated=True,30,0,,,,,,,5,0.5,True
5 bps | g=0.75 gated=False,30,10,0.3333333333333333,8.23762832362601,13.646692777028743,-5.409064453402733,False,-0.6045434206880587,5,0.75,False
5 bps | g=0.75 gated=True,30,10,0.3333333333333333,7.1419159715988965,13.38492726861254,-6.243011297013643,False,-0.6208824320580062,5,0.75,True
5 bps | g=1.00 gated=False,30,3,,,,,,,5,1.0,False
5 bps | g=1.00 gated=True,30,3,,,,,,,5,1.0,True
10 bps | g=0.50 gated=False,30,0,,,,,,,10,0.5,False
10 bps | g=0.50 gated=True,30,0,,,,,,,10,0.5,True
10 bps | g=0.75 gated=False,30,6,0.2,6.561961819022483,13.093054403874635,-6.531092584852153,False,-0.5680434320973885,10,0.75,False
10 bps | g=0.75 gated=True,30,5,0.16666666666666666,5.109371920566963,12.44248651290715,-7.333114592340187,False,-0.5115180573797801,10,0.75,True
10 bps | g=1.00 gated=False,30,3,,,,,,,10,1.0,False
10 bps | g=1.00 gated=True,30,3,,,,,,,10,1.0,True
25 bps | g=0.50 gated=False,30,0,,,,,,,25,0.5,False
25 bps | g=0.50 gated=True,30,0,,,,,,,25,0.5,True
25 bps | g=0.75 gated=False,30,3,,,,,,,25,0.75,False
25 bps | g=0.75 gated=True,30,1,,,,,,,25,0.75,True
25 bps | g=1.00 gated=False,30,1,,,,,,,25,1.0,False
25 bps | g=1.00 gated=True,30,0,,,,,,,25,1.0,True
