population,level,files_total,files_unstated,rows_total,rows_unstated,share_unstated
PINNED(idea 480),L0_DECLARED,96,7,370102,107816,0.29131428633187606
PINNED(idea 480),L1_ALIAS,96,5,370102,107177,0.2895877352729788
PINNED(idea 480),L2_LABEL,96,4,370102,105376,0.2847215092055704
PINNED(idea 480),L3_SIBLING,96,4,370102,105376,0.2847215092055704
PINNED(idea 480),L4_SCRIPT,96,1,370102,105303,0.2845242662833489
PINNED(idea 480),L5_TRANSITIVE,96,1,370102,105303,0.2845242662833489
TODAY,L0_DECLARED,97,7,370390,107816,0.29108777234806554
TODAY,L1_ALIAS,97,5,370390,107177,0.28936256378411945
TODAY,L2_LABEL,97,4,370390,105376,0.28450012149356085
TODAY,L3_SIBLING,97,4,370390,105376,0.28450012149356085
TODAY,L4_SCRIPT,97,1,370390,105303,0.2843030319393072
TODAY,L5_TRANSITIVE,97,1,370390,105303,0.2843030319393072
