window,n,R2_own,slope_own,sign_recovery_ISfit,n_unstable,sign_recovery_unstable,unstable_rate
IS(fit),30,0.7027694777334494,0.2099069623194374,0.8333333333333334,2,0.0,0.06666666666666667
OOS(read once),30,0.9363109941996455,0.2402553607245782,0.9,4,0.75,0.13333333333333333
