window,phi,panel,published_abs,total_rows,kept,removed,pct_removed,negatives,negatives_removed,med_dd_kept,med_dd_removed,med_pctctl_removed
full,0.0,u56,70,96,70,0,0.0,9,0,3.957431846887649,,
full,0.0,broad,68,96,68,0,0.0,6,0,5.946705923932716,,
full,0.0,small,64,96,64,0,0.0,11,0,3.701706274604155,,
full,0.0,ALL,202,288,202,0,0.0,26,0,4.519550813439189,,
full,0.02,u56,70,96,70,0,0.0,9,0,3.957431846887649,,
full,0.02,broad,68,96,60,8,11.764705882352942,6,1,6.678462673208507,0.21733913649881753,0.793757382942192
full,0.02,small,64,96,54,10,15.625,11,5,10.094291757135926,0.5655037471556046,1.622238660653937
full,0.02,ALL,202,288,184,18,8.910891089108912,26,6,5.458183919905696,0.42158574112567404,1.2523903620077252
full,0.05,u56,70,96,70,0,0.0,9,0,3.957431846887649,,
full,0.05,broad,68,96,58,10,14.705882352941176,6,1,6.762295650470168,0.23089853076783684,0.8860741676754293
full,0.05,small,64,96,43,21,32.8125,11,9,11.985658597614378,0.716191766078178,2.2130997795054106
full,0.05,ALL,202,288,171,31,15.346534653465346,26,10,5.648528996750491,0.6462227960261968,1.6620471786044049
full,0.1,u56,70,96,64,6,8.571428571428571,9,1,4.318095622347318,1.743141700867562,7.82524897350906
full,0.1,broad,68,96,52,16,23.529411764705884,6,5,7.196144449883857,0.6867276079952633,2.4532466986934893
full,0.1,small,64,96,33,31,48.4375,11,11,13.004623706709118,1.0589691065704288,2.9059803892032754
full,0.1,ALL,202,288,149,53,26.237623762376238,26,17,6.645998779111961,1.0737388265737335,3.434906606601047
full,0.2,u56,70,96,34,36,51.42857142857143,9,6,6.048939667755137,2.4416481776997454,11.901503218849824
full,0.2,broad,68,96,38,30,44.11764705882353,6,6,7.684039815924331,2.273207252648035,9.687869229210555
full,0.2,small,64,96,28,36,56.25,11,11,13.861581523262341,1.188792660278648,3.4644174011510476
full,0.2,ALL,202,288,100,102,50.495049504950494,26,23,8.412525257836407,2.1420626276885457,9.687869229210555
IS,0.0,u56,48,96,48,0,0.0,0,0,1.329112621510864,,
IS,0.0,broad,52,96,52,0,0.0,6,0,3.2014267237256533,,
IS,0.0,small,54,96,54,0,0.0,10,0,3.261455161973259,,
IS,0.0,ALL,154,288,154,0,0.0,16,0,2.156991470912173,,
IS,0.02,u56,48,96,42,6,12.5,0,0,1.4928164123325316,0.1662310005803136,1.3268407368526065
IS,0.02,broad,52,96,48,4,7.6923076923076925,6,1,3.24077497133749,0.11393273939543924,0.9349822164502309
IS,0.02,small,54,96,45,9,16.666666666666668,10,3,4.573631972878777,0.17944642199920757,0.8151781479671947
IS,0.02,ALL,154,288,135,19,12.337662337662337,16,4,2.9999740534365382,0.15500272577543273,1.0300296241865423
IS,0.05,u56,48,96,30,18,37.5,0,0,1.73149943644485,0.3387686489658315,2.696887689706151
IS,0.05,broad,52,96,46,6,11.538461538461538,6,1,3.244420293190997,0.14131994833724848,0.9825059203183866
