file,own_control,n_cells,survives,pairs,pairs_kept
2026-09-04_earnings-season-avoidance_cloud.grid.csv,True,105,0.9809523809523809,105,103
2026-09-04_ensemble-plus-momentum_C.costladder.csv,True,14,1.0,14,14
2026-09-04_ensemble-plus-momentum_C.grid.csv,True,54,0.9074074074074074,54,49
2026-09-04_exit-schedule-vs-entry-schedule_cloud.grid.csv,True,2,1.0,2,2
2026-09-05_2011-the-opposite-outlier_C.l2o.csv,True,28,1.0,28,28
2026-09-05_2011-the-opposite-outlier_C.walkforward.csv,True,384,0.9765625,384,375
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.walkforward.csv,True,22,0.9545454545454546,22,21
2026-09-05_IS-Sharpe-margin-as-the-reportable-selector-statistic_cloud.grid.csv,True,66,0.8181818181818182,66,54
2026-09-05_absorbing-state-audit_B.ladder.csv,True,114,1.0,114,114
2026-09-05_band-width-at-g085_cloud.walkforward.csv,True,44,1.0,44,44
2026-09-05_cagr-floor-calibration_B.calibration.csv,True,765,0.2823529411764706,2037,1209
2026-09-05_cagr-floor-calibration_B.ladder.csv,True,114,0.11403508771929824,228,70
2026-09-05_cagr-floor-calibration_B.riskwork.csv,True,102,0.37254901960784315,226,131
2026-09-05_cagr-floor-constrained-selector_cloud.grid.csv,False,66,0.8181818181818182,66,54
2026-09-05_cagr-floor-constrained-selector_cloud.picks.csv,False,15,0.8666666666666667,15,13
2026-09-05_clause-11b-draw-count-by-enumeration_cloud.exact.csv,False,2,1.0,2,2
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.picks.csv,False,30,0.8666666666666667,30,26
2026-09-05_de-gross-vs-reweight-across-gates_cloud.grid.csv,True,12,0.3333333333333333,12,4
2026-09-05_defensive-overlays-are-rule-8-invisible_B.walkforward.csv,False,15,0.8666666666666667,15,13
2026-09-05_does-a-harmful-instrument-clear-more-often-than-a-helpful-one_B.walkforward.csv,False,14,0.5714285714285714,26,20
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,False,168,0.7202380952380952,234,179
2026-09-05_does-book-share-price-a-tilt_C.transfer.csv,False,4,0.5,4,2
2026-09-05_does-the-modal-constant-result-survive-a-cost-ladder_cloud.refs.csv,True,12,0.2,22,12
2026-09-05_fixed-gross-S4-blend_cloud.grid.csv,False,660,0.8075757575757576,660,533
2026-09-05_fixed-gross-S4-blend_cloud.oos.csv,False,10,1.0,10,10
2026-09-05_four-way-gate-spread-is-a-weighting-convention_cloud.grid.csv,True,120,0.41025641025641024,309,159
2026-09-05_four-way-gate-spread-is-a-weighting-convention_cloud.walkforward.csv,True,16,1.0,16,16
2026-09-05_gross-as-the-missing-third-bar_B.ladder.csv,True,114,0.11403508771929824,228,70
2026-09-05_gross-dispersion-not-gross-level_cloud.walkforward.csv,True,2,0.5,2,1
2026-09-05_gross-interval-as-a-keep-bar_B.selectors.csv,True,9,0.3333333333333333,21,11
2026-09-05_how-many-draws-does-clause-11b-need_cloud.keep.csv,False,30,1.0,30,30
