panel,book,episode,start,end,W_dd,M_dd,MW_cash_dd,MW_spread_dd,delta_M_minus_W
broad,top20 (idea 2),2010 EU/flash,2010-04-01,2010-09-30,-0.1364015292700389,-0.12451472314556145,-0.11742434283987324,-0.12197820356805023,0.011886806124477456
broad,top20 (idea 2),2011 EU crisis,2011-05-01,2011-10-31,-0.11886445592958561,-0.11647639710421842,-0.12011634542070304,-0.11584084115195836,0.0023880588253671897
broad,top20 (idea 2),2015-16 China,2015-08-01,2016-02-29,-0.10523557534458416,-0.11609270697466945,-0.09817884817137612,-0.10080815483159866,-0.010857131630085282
broad,top20 (idea 2),2018Q4,2018-10-01,2018-12-31,-0.14711174537325622,-0.1461767683427464,-0.14671887076947387,-0.15074303742615935,0.0009349770305098204
broad,top20 (idea 2),2020 COVID,2020-02-01,2020-04-30,-0.20052048331108308,-0.2610459352657424,-0.20394719168542275,-0.22230258323667007,-0.060525451954659304
broad,top20 (idea 2),2022 bear,2022-01-01,2022-10-31,-0.17040747250679045,-0.15683843544239706,-0.16255279826625668,-0.162189163751168,0.013569037064393386
broad,top20 (idea 2),2025,2025-01-01,2025-12-31,-0.13904102644808347,-0.1502049780592436,-0.14520866268516963,-0.14673174972573821,-0.011163951611160128
broad,frac85 (idea 46),2010 EU/flash,2010-04-01,2010-09-30,-0.11395583165926082,-0.11389508062228937,-0.10281955198425863,-0.11170140648094617,6.0751036971451455e-05
broad,frac85 (idea 46),2011 EU crisis,2011-05-01,2011-10-31,-0.11415962807558155,-0.11047321521793729,-0.1109915372428919,-0.1069218654130577,0.003686412857644261
broad,frac85 (idea 46),2015-16 China,2015-08-01,2016-02-29,-0.08826878378866299,-0.10027980234244194,-0.09624011407642263,-0.08863309072227532,-0.012011018553778952
broad,frac85 (idea 46),2018Q4,2018-10-01,2018-12-31,-0.13215082953516766,-0.1317047541577444,-0.10460035030832171,-0.1320250031481114,0.00044607537742324954
broad,frac85 (idea 46),2020 COVID,2020-02-01,2020-04-30,-0.18577165522849126,-0.22623433426631334,-0.17237172318843796,-0.1892101674618185,-0.04046267903782208
broad,frac85 (idea 46),2022 bear,2022-01-01,2022-10-31,-0.15450382005173158,-0.14078552698731572,-0.13684576453585529,-0.1483323166564895,0.013718293064415854
broad,frac85 (idea 46),2025,2025-01-01,2025-12-31,-0.11255136523065834,-0.11124304754568926,-0.10637441726598351,-0.11129996685580901,0.0013083176849690847
broad,ew-all,2010 EU/flash,2010-04-01,2010-09-30,-0.10546505084589508,-0.10333254875823639,-0.0926839047093736,-0.1011841055330811,0.002132502087658694
broad,ew-all,2011 EU crisis,2011-05-01,2011-10-31,-0.11314632718410034,-0.10970239938756998,-0.10675795160046919,-0.1051090455216992,0.003443927796530355
broad,ew-all,2015-16 China,2015-08-01,2016-02-29,-0.08497182502309308,-0.0934971977314164,-0.09652100115352125,-0.08541179119873432,-0.00852537270832332
broad,ew-all,2018Q4,2018-10-01,2018-12-31,-0.12732454308097296,-0.12167371656542447,-0.09230278958854776,-0.12302086895667452,0.0056508265155484905
broad,ew-all,2020 COVID,2020-02-01,2020-04-30,-0.1768793110522644,-0.21662181469052766,-0.16406133690654023,-0.17896233043622445,-0.03974250363826326
broad,ew-all,2022 bear,2022-01-01,2022-10-31,-0.1638959675951671,-0.14001592901804594,-0.12904273183025494,-0.15155251737069597,0.023880038577121177
