a,b,pool,metric,n,n_nonzero,mean,t,wins,losses,ties,win_rate,sign_p
K_Sharpe,D_NONE,P_ALL,OOS_Sharpe,72,62,-0.0029163205757907424,-0.6512555851317255,32,30,10,0.5161290322580645,0.899076313652859
K_Sharpe,D_NONE,P_ALL,OOS_CAGR,72,62,-0.00973259534863976,-4.737965768054742,8,54,10,0.12903225806451613,1.709326186236787e-09
K_Sharpe,D_NONE,P_ALL,OOS_MaxDD,72,55,0.013657478482959048,2.887275747964414,43,12,17,0.7818181818181819,3.3053764732060564e-05
K_CAGR,D_NONE,P_ALL,OOS_Sharpe,72,47,-0.003552072859103641,-0.999633646333641,21,26,25,0.44680851063829785,0.5600646295802107
K_CAGR,D_NONE,P_ALL,OOS_CAGR,72,47,-0.0015001923941451013,-0.9523608745777331,13,34,25,0.2765957446808511,0.0030876764615186403
K_CAGR,D_NONE,P_ALL,OOS_MaxDD,72,38,0.0012800127012582538,0.4033833655909576,26,12,34,0.6842105263157895,0.03355243967962451
K_Calmar,D_NONE,P_ALL,OOS_Sharpe,72,71,-0.0003411609728647348,-0.06045829559163795,34,37,1,0.4788732394366197,0.8125886494061618
K_Calmar,D_NONE,P_ALL,OOS_CAGR,72,71,-0.013346709287285537,-5.6705420896497305,8,63,1,0.11267605633802817,1.0271364278048329e-11
K_Calmar,D_NONE,P_ALL,OOS_MaxDD,72,66,0.020196208390574757,3.7764765598615595,46,20,6,0.696969696969697,0.0018582303075658085
K_MaxDD,D_NONE,P_ALL,OOS_Sharpe,72,72,-0.04173764999934323,-3.485863954571349,28,44,0,0.3888888888888889,0.07636915467183139
K_MaxDD,D_NONE,P_ALL,OOS_CAGR,72,72,-0.045018923790280954,-12.362414458762185,3,69,0,0.041666666666666664,2.6371947296289014e-17
K_MaxDD,D_NONE,P_ALL,OOS_MaxDD,72,72,0.0923502226693661,12.619083090320933,70,2,0,0.9722222222222222,1.1134248091657778e-18
K_Random,D_NONE,P_ALL,OOS_Sharpe,72,59,-0.05339184336875317,-4.7729987931241515,13,46,13,0.22033898305084745,1.9167786796225883e-05
K_Random,D_NONE,P_ALL,OOS_CAGR,72,59,-0.028133016791874077,-6.294888176098219,5,54,13,0.0847457627118644,1.9067358802971057e-11
K_Random,D_NONE,P_ALL,OOS_MaxDD,72,54,0.034793128021915816,5.308142592059167,47,7,18,0.8703703703703703,2.2918642095248742e-08
K_Sharpe,D_NONE,P_S1,OOS_Sharpe,72,32,0.0003972324404006485,0.18675672008441294,19,13,40,0.59375,0.37708558747544885
K_Sharpe,D_NONE,P_S1,OOS_CAGR,72,32,-0.005205256075111014,-3.430993192696867,1,31,40,0.03125,1.5366822481155396e-08
K_Sharpe,D_NONE,P_S1,OOS_MaxDD,72,32,0.012166821752234564,4.612087676433067,26,6,40,0.8125,0.0005350527353584766
K_CAGR,D_NONE,P_S1,OOS_Sharpe,72,32,0.003640483540237205,1.9638004635209514,23,9,40,0.71875,0.020061607006937265
K_CAGR,D_NONE,P_S1,OOS_CAGR,72,32,-0.004262669961579862,-2.8020544348601613,5,27,40,0.15625,0.00011307420209050179
K_CAGR,D_NONE,P_S1,OOS_MaxDD,72,32,0.012352741523230171,4.65603530995679,26,6,40,0.8125,0.0005350527353584766
K_Calmar,D_NONE,P_S1,OOS_Sharpe,72,35,0.0046394375443427555,1.515747380611123,20,15,37,0.5714285714285714,0.49955983320251107
K_Calmar,D_NONE,P_S1,OOS_CAGR,72,35,-0.006092417864854294,-3.6395455605354567,2,33,37,0.05714285714285714,3.6729034036397934e-08
K_Calmar,D_NONE,P_S1,OOS_MaxDD,72,35,0.012661038171554876,4.145354321336401,26,9,37,0.7428571428571429,0.0059881205670535564
K_MaxDD,D_NONE,P_S1,OOS_Sharpe,72,35,-0.0006251812869692239,-0.15210656439112943,17,18,37,0.4857142857142857,1.0
K_MaxDD,D_NONE,P_S1,OOS_CAGR,72,35,-0.01090730856586223,-5.4715951971775,3,32,37,0.08571428571428572,4.176981747150421e-07
K_MaxDD,D_NONE,P_S1,OOS_MaxDD,72,35,0.023307429469284793,6.069524377204973,33,2,37,0.9428571428571428,3.6729034036397934e-08
K_Random,D_NONE,P_S1,OOS_Sharpe,72,32,0.0008053068983333608,0.2864454150229201,18,14,40,0.5625,0.5966148958541453
K_Random,D_NONE,P_S1,OOS_CAGR,72,32,-0.008014956872669553,-4.383362058667545,3,29,40,0.09375,2.5560148060321808e-06
K_Random,D_NONE,P_S1,OOS_MaxDD,72,32,0.01864209998449914,5.502328743841125,30,2,40,0.9375,2.4633482098579407e-07
K_CAGR,K_Sharpe,P_ALL,OOS_Sharpe,72,30,-0.0006357522833128988,-0.21929533013988195,12,18,42,0.4,0.361594608053565
