claim_set,rung,committed_rows,distinct_cells,reproduced_REC,split,destroyed,created,surviving,destroyed_share
STRICT,ALL,49,24,43,DISJ,2,0,41,0.046511627906976744
STRICT,ALL,49,24,43,TWOLEG,0,0,43,0.0
STRICT,10,20,9,16,DISJ,1,0,15,0.0625
STRICT,10,20,9,16,TWOLEG,0,0,16,0.0
WIDE,ALL,27143,106,18461,DISJ,8097,1407,10364,0.4386002925085315
WIDE,ALL,27143,106,18461,TWOLEG,1890,1407,16571,0.10237798602459239
WIDE,10,10846,30,6412,DISJ,4335,1407,2077,0.6760761072988147
WIDE,10,10846,30,6412,TWOLEG,0,1407,6412,0.0
