claim_set,units,EXACT,POOLED,PER_PANEL,SILENT,n_nonexact,nonexact_silent_share
CQ_CLONE,766,188,47,281,250,578,0.43252595155709345
CQ_SAME,3366,1716,115,775,760,1650,0.46060606060606063
CQ_ALL,4094,1839,173,991,1091,2255,0.4838137472283814
