arm,family,prop,note,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,SPY_OOS_Sharpe,v2_OOS_Sharpe,pass4a,pass4b,fail4a,fail4b
LIVE RULES v2,-,-,baseline,0.08631725018912006,1.202140097248246,-0.12054946142590728,1.2308642154162701,1.1798211368254472,0.09481988847882761,1.278836537597142,-0.12054946142590717,0.8757783801289708,1.278836537597142,0,0,"H1,H2",CAGR
RULES v1,-,-,previous book,0.06389280969247557,0.6583521553256034,-0.13827812344296642,0.6428917536562497,0.6752891798785768,0.07601495357715282,0.7359903848559822,-0.13827812344296675,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD","H1,H2,OOS,CAGR"
SPY,-,-,benchmark,0.1515424356997792,0.8855285842005364,-0.33717235283398295,0.9586939217909282,0.8256586922139754,0.15315660628921846,0.8757783801289708,-0.33717235283398284,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD","H1,H2,OOS,DD"
topn:n=5,topn,-,IS-argmax constant,0.3078289225207529,1.1373339999027654,-0.36531655675773933,1.292284490024074,1.0460080386494732,0.30977376012540914,1.056616554299878,-0.365316556757739,0.8757783801289708,1.278836537597142,0,0,"H2,DD",DD
topn:n=10,topn,-,fixed dial,0.21434788216157252,1.0501003554119068,-0.30114062690378873,1.1471008054339322,0.9895895841916729,0.22725916240181276,1.0273862968563863,-0.30114062690378895,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
topn:n=20,topn,-,fixed dial,0.19054529288078537,1.146202929920446,-0.25370980769932805,1.2214973926845512,1.0984296455688778,0.21037296570771757,1.1696800483198222,-0.2537098076993278,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
topn<-BREADTH,topn,BREADTH,LOW=n=5 HIGH=n=10,0.24636720734528206,1.059796786025382,-0.34457127026821277,1.2464417771483844,0.9318470233473973,0.23675904794906222,0.962963806414778,-0.34457127026821244,0.8757783801289708,1.278836537597142,0,0,"H2,DD",DD
topn<-DISP,topn,DISP,collapsed to n=5,0.3078289225207529,1.1373339999027654,-0.36531655675773933,1.292284490024074,1.0460080386494732,0.30977376012540914,1.056616554299878,-0.365316556757739,0.8757783801289708,1.278836537597142,0,0,"H2,DD",DD
topn<-SPYVOL,topn,SPYVOL,collapsed to n=5,0.3078289225207529,1.1373339999027654,-0.36531655675773933,1.292284490024074,1.0460080386494732,0.30977376012540914,1.056616554299878,-0.365316556757739,0.8757783801289708,1.278836537597142,0,0,"H2,DD",DD
topn<-SPYTREND,topn,SPYTREND,LOW=n=5 HIGH=n=20,0.2270489327537757,1.059128105267917,-0.33223464150253457,1.157956495353795,0.9950170325164966,0.2361436525156284,1.0305083401562352,-0.332234641502535,0.8757783801289708,1.278836537597142,0,0,"H1,H2,DD",DD
