panel,axis,level,mean_rel_floor,n_inf,n,mean_log_M,mean_spread,mean_gap
U56,LADDER,N,0.902018022157685,0,4,2.5330849377981512,2.8923926894048275,0.2965260314093974
U56,LADDER,H,1.0,4,4,1.5008701819064714,2.0617065576527,0.3682263717422012
U56,LADDER,GROSS,0.554401724141661,2,4,0.10478232693549391,5.1357075279596565,0.5839519018405033
U56,LADDER,CADENCE,1.0,4,4,2.0743217809536114,1.2664497991078234,0.2466684294544298
U56,STATISTIC,S_FULL,0.9903549997551602,3,4,1.6425992457681562,0.07681360394981318,0.008292662729847855
U56,STATISTIC,S_OOS,0.9873143688188839,3,4,1.3210805366625196,0.11948139475726618,0.013000904318600237
U56,STATISTIC,CAGR,0.7705872110311272,2,4,1.4927972104824652,4.052185142150183,0.40939765646887416
U56,STATISTIC,DD,0.7081631666941748,2,4,1.7565822346805873,7.107776433267745,1.0646815109292094
B136,LADDER,N,0.8778788037165473,2,4,2.2141444644244217,3.119993022006436,0.3408761356003453
B136,LADDER,H,1.0,4,4,1.7660764664801945,2.234540790454489,0.8389128369201673
B136,LADDER,GROSS,0.10488160084756343,0,4,0.0,5.43223768674108,0.6173408003611534
B136,LADDER,CADENCE,1.0,4,4,1.8226755608219636,2.4135516337578355,0.38263227375122383
B136,STATISTIC,S_FULL,0.7750475878136043,3,4,1.8970679267105823,0.05426747198381163,0.003205566599894072
B136,STATISTIC,S_OOS,0.7110848075359928,2,4,1.1686004532113206,0.11755140976557599,0.025188851469918894
B136,STATISTIC,CAGR,0.7777215713114812,3,4,1.1531131783425446,4.0009178488795705,0.6346879762351647
B136,STATISTIC,DD,0.7189064379030323,2,4,1.5841149334621325,9.027586402330881,1.516679652327912
SMALL,LADDER,N,0.7879181711179654,0,4,2.15133888955636,5.200141293961158,0.10703583694322721
SMALL,LADDER,H,0.8837591633318155,2,4,0.6989700043360187,2.117929999758766,1.363054989506029
SMALL,LADDER,GROSS,0.550283279315793,2,4,0.2790065758637823,6.139319239497821,0.7172632455655668
SMALL,LADDER,CADENCE,1.0,3,4,1.7199002906857581,1.6232694175973188,0.4845846549343655
SMALL,STATISTIC,S_FULL,0.9186150448765886,2,4,0.9958501845451346,0.16517362839247027,0.06676686660356534
SMALL,STATISTIC,S_OOS,0.9577299189004562,2,4,1.1009331566710627,0.18692428079504042,0.06691435355217722
SMALL,STATISTIC,CAGR,0.7000684072760395,1,4,0.7282049159737077,4.375658681264283,1.4395290779708192
SMALL,STATISTIC,DD,0.6455472427124895,2,4,2.024227503252014,10.35290336036327,1.0987284288226267
