panel,dial,label,cost_bps,book_A,book_B,book_gain,null_gain_median,null_gain_p95,null_gain_sd,book_pctl_in_null,pctl_half,excess,beats_null,dTurn,turn_ratio,book_dCAGR,n_draws
U56,D1_CADENCE,freq W->M,0.0,1.1512760588609559,1.2506508307226851,0.09937477186172927,0.053962247216844395,0.1579820257698661,0.06727368061643899,75.6,76.0,0.04541252464488488,True,-5.8729338519550085,2.280934506116604,0.018573249457985996,250
U56,D1_CADENCE,freq W->M,10.0,1.0595867666452303,1.2120443328460044,0.1524575662007741,0.3419434861981333,0.4451745761634104,0.06741834957282743,0.4,0.8,-0.1894859199973592,False,-5.8729338519550085,2.280934506116604,0.025490583642661324,250
U56,D1_CADENCE,freq W->M,25.0,0.9217003319373287,1.1537918658044903,0.23209153386716164,0.7712452701295043,0.875084693526946,0.06766711464419643,0.0,0.0,-0.5391537362623426,False,-5.8729338519550085,2.280934506116604,0.03566283013339899,250
U56,D1_CADENCE,freq W->M,50.0,0.6913793753395103,1.0559290735411964,0.36454969820168603,1.4619792020391031,1.5756851038531363,0.06809447625773574,0.0,0.0,-1.097429503837417,False,-5.8729338519550085,2.280934506116604,0.05208387756914523,250
U56,D2_GROSS,gross 1.00->0.50,0.0,1.1513109294094754,1.1512141022538964,-9.682715557901567e-05,0.0010322544764499453,0.0019288138219546223,0.0005226873133455898,2.4,1.6,-0.001129081632028961,False,-6.9246869322952165,1.9893866294056874,-0.0940584440510408,250
U56,D2_GROSS,gross 1.00->0.50,10.0,1.0598280655831815,1.059103152946796,-0.0007249126363855218,-0.0001811582078815599,0.0006195361097732719,0.0005154100125564146,17.599999999999998,16.8,-0.0005437544285039619,False,-6.9246869322952165,1.9893866294056874,-0.08482264781113069,250
U56,D2_GROSS,gross 1.00->0.50,25.0,0.9222516120028633,0.9205822132270269,-0.0016693987758363837,-0.0020644848264626432,-0.0012386980810713192,0.000532152703838089,77.60000000000001,77.60000000000001,0.0003950860506262595,True,-6.9246869322952165,1.9893866294056874,-0.07131873893525209,250
U56,D2_GROSS,gross 1.00->0.50,50.0,0.6924454411803654,0.6892034307391474,-0.0032420104412180795,-0.0048169459874794485,-0.004055115851422481,0.0006145007288521232,99.6,100.0,0.001574935546261369,True,-6.9246869322952165,1.9893866294056874,-0.04972044057817926,250
U56,D3_WIDTH,n 5->20,0.0,1.0246924948246692,1.1512760588609559,0.12658356403628668,0.13593155702513654,0.36889066917617563,0.1426656844190304,46.800000000000004,48.0,-0.009347992988849863,False,-7.144909376023961,1.68321237642693,-0.04387907324824303,250
U56,D3_WIDTH,n 5->20,10.0,0.9219826274215368,1.0595867666452303,0.13760413922369352,0.32591446647425343,0.5536593073480167,0.14209992837971222,8.0,8.0,-0.1883103272505599,False,-7.144909376023961,1.68321237642693,-0.03458811245701199,250
U56,D3_WIDTH,n 5->20,25.0,0.7674726494615641,0.9217003319373287,0.15422768247576457,0.6044294505143729,0.8322034817443459,0.14132983480488517,0.0,0.0,-0.45020176803860834,False,-7.144909376023961,1.68321237642693,-0.021130308511839502,250
U56,D3_WIDTH,n 5->20,50.0,0.5094236147214997,0.6913793753395103,0.18195576061801066,0.9933207687238731,1.2270695811573125,0.13979691710852302,0.0,0.0,-0.8113650081058624,False,-7.144909376023961,1.68321237642693,6.73328638616244e-05,250
U56,D4_ELIG,max_vol 0.60->0.35,0.0,1.1512760588609559,1.1620816679061954,0.010805609045239528,-0.023776627077226498,0.07869717256918196,0.0689971023784928,69.19999999999999,76.8,0.034582236122466026,True,1.5101994924712159,0.8738137092679598,-0.01880927205344962,250
U56,D4_ELIG,max_vol 0.60->0.35,10.0,1.0595867666452303,1.0393405603686372,-0.020246206276593126,-0.05119697089387609,0.051085726547770396,0.0689869360763733,67.60000000000001,75.2,0.030950764617282966,True,1.5101994924712159,0.8738137092679598,-0.020384224793530636,250
U56,D4_ELIG,max_vol 0.60->0.35,25.0,0.9217003319373287,0.8547238976941002,-0.06697643424322852,-0.09244449494863456,0.009847355244945063,0.06897958661408259,66.4,72.8,0.02546806070540604,True,1.5101994924712159,0.8738137092679598,-0.022674861485980413,250
U56,D4_ELIG,max_vol 0.60->0.35,50.0,0.6913793753395103,0.5467435114150088,-0.14463586392450156,-0.1525319843469008,-0.04975749114700419,0.0689130305273912,54.0,58.4,0.007896120422399233,True,1.5101994924712159,0.8738137092679598,-0.026306542598805605,250
U56,D5_BAND,band 0.00->0.06,0.0,1.2123460430563888,1.1557445548744105,-0.0566014881819783,-0.07188935530932872,-0.0016354917672955905,0.04636003854341449,62.0,62.4,0.015287867127350419,True,-1.7447563212448725,2.4192949662391308,-0.000684491207497695,250
U56,D5_BAND,band 0.00->0.06,10.0,1.1671555282188113,1.1377798396226575,-0.029375688596153804,-0.08063642618772299,-0.01234553785423071,0.04605829825350129,86.4,87.2,0.05126073759156918,True,-1.7447563212448725,2.4192949662391308,0.0013066103281713648,250
U56,D5_BAND,band 0.00->0.06,25.0,1.0992637254766275,1.110812741656672,0.011549016180044447,-0.09343090833681755,-0.024384141356061907,0.0456619740276656,99.2,99.2,0.104979924516862,True,-1.7447563212448725,2.4192949662391308,0.004277187990508802,250
U56,D5_BAND,band 0.00->0.06,50.0,0.9858846807699517,1.0658192575140926,0.07993457674414084,-0.11339637714143853,-0.04377257458501166,0.04517224063778094,100.0,100.0,0.19333095388557936,True,-1.7447563212448725,2.4192949662391308,0.009185521367638616,250
B136,D1_CADENCE,freq W->M,0.0,1.0454260955081687,1.1472072527400103,0.10178115723184167,0.0137901999989547,0.16199677667768095,0.09656874668983972,81.2,76.8,0.08799095723288697,True,-7.381904252532426,2.189813055819604,0.026534120876365863,250
B136,D1_CADENCE,freq W->M,10.0,0.9431869804604214,1.1034702279364665,0.16028324747604517,0.4413740988359043,0.5904553307379572,0.09628138133322682,0.4,0.8,-0.2810908513598591,False,-7.381904252532426,2.189813055819604,0.035183010825787564,250
B136,D1_CADENCE,freq W->M,25.0,0.7895518917643998,1.0375057500832823,0.2479538583188825,1.0738558967815512,1.219419154875465,0.09563453708856262,0.0,0.0,-0.8259020384626687,False,-7.381904252532426,2.189813055819604,0.04781838544626238,250
B136,D1_CADENCE,freq W->M,50.0,0.5332625006904443,0.9267961660280872,0.3935336653376429,2.048887792236301,2.1917960281129147,0.0939402429906406,0.0,0.0,-1.6553541268986582,False,-7.381904252532426,2.189813055819604,0.06799940999803455,250
B136,D2_GROSS,gross 1.00->0.50,0.0,1.046992625531588,1.0438313918479245,-0.0031612336836635,0.0014822005519644632,0.0024439958434661056,0.0006841683014512096,0.0,0.0,-0.004643434235627963,False,-9.009242748712195,1.9915056515721814,-0.09744528237407035,250
B136,D2_GROSS,gross 1.00->0.50,10.0,0.9449775888804264,0.9411649814995489,-0.0038126073808775196,-0.000552260606939442,0.0005924194770892362,0.00068970836915725,0.0,0.0,-0.0032603467739380776,False,-9.009242748712195,1.9915056515721814,-0.08535752554484999,250
B136,D2_GROSS,gross 1.00->0.50,25.0,0.7916779986194254,0.7868879272404934,-0.004790071378932059,-0.0034426957549470727,-0.0020366573348903475,0.000806110177658001,5.2,4.0,-0.0013473756239849866,False,-9.009242748712195,1.9915056515721814,-0.06782039162286368,250
B136,D2_GROSS,gross 1.00->0.50,50.0,0.535943296026819,0.5295312749553642,-0.0064120210714547765,-0.0073919795898489404,-0.005585842821404586,0.0010985418236993203,82.8,88.0,0.000979958518394164,True,-9.009242748712195,1.9915056515721814,-0.04012283243613246,250
B136,D3_WIDTH,n 5->20,0.0,0.9770225325296618,1.0454260955081687,0.06840356297850692,0.1402982235631966,0.3705604612175287,0.1444748124417954,30.0,34.4,-0.07189466058468968,False,-7.1111409997210835,1.5234106696945253,-0.04389356191883076,250
B136,D3_WIDTH,n 5->20,10.0,0.866867993588563,0.9431869804604214,0.07631898687185834,0.17659672321226855,0.3955549147713509,0.14437975908210007,27.200000000000003,32.0,-0.1002777363404102,False,-7.1111409997210835,1.5234106696945253,-0.034456656706109756,250
B136,D3_WIDTH,n 5->20,25.0,0.7012753066506588,0.7895518917643998,0.08827658511374092,0.22238001278005268,0.4371945308804135,0.14396913423242572,21.6,28.000000000000004,-0.13410342766631175,False,-7.1111409997210835,1.5234106696945253,-0.020889862059608744,250
B136,D3_WIDTH,n 5->20,50.0,0.42507193942321014,0.5332625006904443,0.1081905612672342,0.2849373862793133,0.47990891738134267,0.14204261393594367,15.2,20.0,-0.1767468250120791,False,-7.1111409997210835,1.5234106696945253,0.00021790699845780637,250
