claimset,bar,type,sites,share
COMMITTED,SHARPE,SCALAR,63,0.3423913043478261
COMMITTED,SHARPE,RESPREAD,10,0.05434782608695652
COMMITTED,SHARPE,BOTH,12,0.06521739130434782
COMMITTED,SHARPE,UNSTATED,99,0.5380434782608695
COMMITTED,RETURN,SCALAR,16,0.35555555555555557
COMMITTED,RETURN,RESPREAD,0,0.0
COMMITTED,RETURN,BOTH,0,0.0
COMMITTED,RETURN,UNSTATED,29,0.6444444444444445
COMMITTED,DD,SCALAR,6,0.2222222222222222
COMMITTED,DD,RESPREAD,0,0.0
COMMITTED,DD,BOTH,1,0.037037037037037035
COMMITTED,DD,UNSTATED,20,0.7407407407407407
COMMITTED,NOBAR,SCALAR,19,0.07539682539682539
COMMITTED,NOBAR,RESPREAD,4,0.015873015873015872
COMMITTED,NOBAR,BOTH,0,0.0
COMMITTED,NOBAR,UNSTATED,229,0.9087301587301587
ALL,SHARPE,SCALAR,68,0.27755102040816326
ALL,SHARPE,RESPREAD,11,0.044897959183673466
ALL,SHARPE,BOTH,12,0.04897959183673469
ALL,SHARPE,UNSTATED,154,0.6285714285714286
ALL,RETURN,SCALAR,17,0.2361111111111111
ALL,RETURN,RESPREAD,1,0.013888888888888888
ALL,RETURN,BOTH,0,0.0
ALL,RETURN,UNSTATED,54,0.75
ALL,DD,SCALAR,7,0.14285714285714285
ALL,DD,RESPREAD,0,0.0
ALL,DD,BOTH,1,0.02040816326530612
ALL,DD,UNSTATED,41,0.8367346938775511
ALL,NOBAR,SCALAR,53,0.06113033448673587
ALL,NOBAR,RESPREAD,6,0.006920415224913495
ALL,NOBAR,BOTH,0,0.0
ALL,NOBAR,UNSTATED,808,0.9319492502883506
