panel,capmode,rung,seed,chooser,pick_f,pick_gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beats_SPY_OOS,beats_BASE_OOS,beats_INC_OOS,keep4b,keep4a
U56,ABS,0.0,0,C_ISSHARPE,0.25,0.75,0.04944764011748881,1.4986446837270957,-0.07471090653302637,True,True,True,False,True
U56,ABS,0.0,0,C_ISCALMAR,0.25,0.75,0.04944764011748881,1.4986446837270957,-0.07471090653302637,True,True,True,False,True
U56,ABS,0.0,0,C_ISCAGR,1.0,0.75,0.1335178933589889,1.370483852815115,-0.14932245597742244,True,True,True,True,False
U56,ABS,0.0,0,C_JOINT,0.25,0.75,0.04944764011748881,1.4986446837270957,-0.07471090653302637,True,True,True,False,True
U56,ABS,0.0,0,C_PREREG,1.0,0.75,0.1335178933589889,1.370483852815115,-0.14932245597742244,True,True,True,True,False
U56,ABS,0.0,1,C_ISSHARPE,0.25,0.75,0.05155411619903316,1.4997620927789084,-0.07246701576673009,True,True,True,False,True
U56,ABS,0.0,1,C_ISCALMAR,1.0,0.75,0.1335178933589889,1.370483852815115,-0.14932245597742244,True,True,True,True,False
U56,ABS,0.0,1,C_ISCAGR,1.0,0.75,0.1335178933589889,1.370483852815115,-0.14932245597742244,True,True,True,True,False
U56,ABS,0.0,1,C_JOINT,0.25,0.75,0.05155411619903316,1.4997620927789084,-0.07246701576673009,True,True,True,False,True
U56,ABS,0.0,1,C_PREREG,1.0,0.75,0.1335178933589889,1.370483852815115,-0.14932245597742244,True,True,True,True,False
U56,ABS,0.0,2,C_ISSHARPE,0.25,0.75,0.04931913185369541,1.6241645722590088,-0.05206486479681105,True,True,True,False,True
U56,ABS,0.0,2,C_ISCALMAR,0.25,0.75,0.04931913185369541,1.6241645722590088,-0.05206486479681105,True,True,True,False,True
U56,ABS,0.0,2,C_ISCAGR,1.0,0.75,0.1335178933589889,1.370483852815115,-0.14932245597742244,True,True,True,True,False
U56,ABS,0.0,2,C_JOINT,0.25,0.75,0.04931913185369541,1.6241645722590088,-0.05206486479681105,True,True,True,False,True
U56,ABS,0.0,2,C_PREREG,1.0,0.75,0.1335178933589889,1.370483852815115,-0.14932245597742244,True,True,True,True,False
U56,ABS,0.0,3,C_ISSHARPE,0.5,0.75,0.0830356356598787,1.4968022063844955,-0.07943217249373091,True,True,True,False,True
