panel,m,rule,constr,cost,year,ret
u56,0.53,FIX,lit,10.0,2009,0.16898823046848221
u56,0.53,FIX,lit,10.0,2010,0.07743883996626444
u56,0.53,FIX,lit,10.0,2011,0.005161378220816637
u56,0.53,FIX,lit,10.0,2012,0.061850764345256604
u56,0.53,FIX,lit,10.0,2013,0.2903017788054396
u56,0.53,FIX,lit,10.0,2014,0.08146358214220295
u56,0.53,FIX,lit,10.0,2015,0.09898769911777006
u56,0.53,FIX,lit,10.0,2016,0.08467465048880651
u56,0.53,FIX,lit,10.0,2017,0.18264082280017502
u56,0.53,FIX,lit,10.0,2018,0.0592350836158233
u56,0.53,FIX,lit,10.0,2019,0.17713446691589185
u56,0.53,FIX,lit,10.0,2020,0.15392686725598792
u56,0.53,FIX,lit,10.0,2021,0.22084671236754994
u56,0.53,FIX,lit,10.0,2022,-0.09023606998133737
u56,0.53,FIX,lit,10.0,2023,0.23989013096439837
u56,0.53,FIX,lit,10.0,2024,0.2219615953566192
u56,0.53,FIX,lit,10.0,2025,0.1322939671506853
u56,0.53,FIX,lit,10.0,2026,0.12609054488519966
u56,0.53,FIX,lit,25.0,2009,0.15462639015292412
u56,0.53,FIX,lit,25.0,2010,0.0599879314790448
u56,0.53,FIX,lit,25.0,2011,-0.010326810156808475
u56,0.53,FIX,lit,25.0,2012,0.04610306714894796
u56,0.53,FIX,lit,25.0,2013,0.2754631925708093
u56,0.53,FIX,lit,25.0,2014,0.06535751656111688
u56,0.53,FIX,lit,25.0,2015,0.08395724488214595
u56,0.53,FIX,lit,25.0,2016,0.06711373142605614
u56,0.53,FIX,lit,25.0,2017,0.1694216382147038
u56,0.53,FIX,lit,25.0,2018,0.0455693802703514
u56,0.53,FIX,lit,25.0,2019,0.16068442882911715
u56,0.53,FIX,lit,25.0,2020,0.1347297876011888
u56,0.53,FIX,lit,25.0,2021,0.20237703864469592
u56,0.53,FIX,lit,25.0,2022,-0.10154535590183711
u56,0.53,FIX,lit,25.0,2023,0.2233393590691417
u56,0.53,FIX,lit,25.0,2024,0.20270181082152194
u56,0.53,FIX,lit,25.0,2025,0.11531219985598873
u56,0.53,FIX,lit,25.0,2026,0.11347356552982535
u56,0.53,FIX,norm,10.0,2009,0.15348506691915675
u56,0.53,FIX,norm,10.0,2010,0.08475171101498646
u56,0.53,FIX,norm,10.0,2011,0.00913105962746874
u56,0.53,FIX,norm,10.0,2012,0.06203200456315927
u56,0.53,FIX,norm,10.0,2013,0.289040186996409
u56,0.53,FIX,norm,10.0,2014,0.08394053235882692
u56,0.53,FIX,norm,10.0,2015,0.10951356764280362
u56,0.53,FIX,norm,10.0,2016,0.08891471760918157
u56,0.53,FIX,norm,10.0,2017,0.18210035892344
u56,0.53,FIX,norm,10.0,2018,0.05842534644666575
u56,0.53,FIX,norm,10.0,2019,0.17530873245908096
u56,0.53,FIX,norm,10.0,2020,0.1644776299592039
u56,0.53,FIX,norm,10.0,2021,0.2220784254333179
u56,0.53,FIX,norm,10.0,2022,-0.0934940518322992
u56,0.53,FIX,norm,10.0,2023,0.23831470360530171
