universe,sleeve,book,n_assets,corr
u56,SCASH,v1,0,0.0
u56,SCASH,top20,0,0.0
u56,SCASH,ewall,0,0.0
u56,SCASH,SPY,0,0.0
u56,S4,v1,4,0.2123206348967732
u56,S4,top20,4,0.11982166171076832
u56,S4,ewall,4,0.1069025829369223
u56,S4,SPY,4,-0.14154723487600818
u56,S5f,v1,5,0.5378457981175891
u56,S5f,top20,5,0.5153868951150761
u56,S5f,ewall,5,0.5006444648756416
u56,S5f,SPY,5,0.2500539570928729
u56,S6f,v1,6,0.6829873558741314
u56,S6f,top20,6,0.7332000454293479
u56,S6f,ewall,6,0.7047749858815162
u56,S6f,SPY,6,0.48162312918190725
u56,S7f,v1,7,0.721508354810542
u56,S7f,top20,7,0.7929576101327607
u56,S7f,ewall,7,0.7694155308623395
u56,S7f,SPY,7,0.5676457045792164
u56,S8f,v1,8,0.7340168403717157
u56,S8f,top20,8,0.8164161670945329
u56,S8f,ewall,8,0.7972738044774262
u56,S8f,SPY,8,0.6155201732386972
u56,S5r,v1,5,0.3919152441862498
u56,S5r,top20,5,0.35378687542963094
u56,S5r,ewall,5,0.33591216226705484
u56,S5r,SPY,5,0.09344739637577147
u56,S6r,v1,6,0.5222524602374596
u56,S6r,top20,6,0.5212016414718732
u56,S6r,ewall,6,0.5066400331650905
u56,S6r,SPY,6,0.28398796021640715
u56,S7r,v1,7,0.6120013040329029
u56,S7r,top20,7,0.643257849784088
u56,S7r,ewall,7,0.6307992784751641
u56,S7r,SPY,7,0.4239734118026805
u56,S8r,v1,8,0.6917940451038077
u56,S8r,top20,8,0.7670862911359805
u56,S8r,ewall,8,0.744507603519203
u56,S8r,SPY,8,0.555977129568893
u56,S9,v1,9,0.7264725381171875
u56,S9,top20,9,0.8195327609049041
u56,S9,ewall,9,0.8002230245604617
u56,S9,SPY,9,0.6351666774399947
broad,SCASH,v1,0,0.0
broad,SCASH,top20,0,0.0
broad,SCASH,ewall,0,0.0
broad,SCASH,SPY,0,0.0
broad,S4,v1,4,0.130160568578761
broad,S4,top20,4,0.03515875843561142
broad,S4,ewall,4,-0.01129746367411618
broad,S4,SPY,4,-0.1414748803396452
broad,S5f,v1,5,0.43557843645387956
broad,S5f,top20,5,0.4165187739567461
broad,S5f,ewall,5,0.39765162293128553
broad,S5f,SPY,5,0.2501678781515744
broad,S6f,v1,6,0.570402452238581
broad,S6f,top20,6,0.6403058025108733
broad,S6f,ewall,6,0.6164307161208812
broad,S6f,SPY,6,0.48172619315899845
broad,S7f,v1,7,0.6154166070186193
broad,S7f,top20,7,0.7097931143823978
broad,S7f,ewall,7,0.6998082968519987
broad,S7f,SPY,7,0.567722721598709
broad,S8f,v1,8,0.6339574342813021
broad,S8f,top20,8,0.7361719481467881
broad,S8f,ewall,8,0.7408378937197792
broad,S8f,SPY,8,0.6155730798871752
broad,S5r,v1,5,0.28845450171155945
broad,S5r,top20,5,0.260920828014431
broad,S5r,ewall,5,0.22584373343978253
broad,S5r,SPY,5,0.0934729552653941
broad,S6r,v1,6,0.4197615683786237
broad,S6r,top20,6,0.4274832441443678
broad,S6r,ewall,6,0.41737026010149125
broad,S6r,SPY,6,0.28391448021269383
broad,S7r,v1,7,0.512250323114672
broad,S7r,top20,7,0.5579733700731929
broad,S7r,ewall,7,0.5596496686008833
broad,S7r,SPY,7,0.4239552080261509
broad,S8r,v1,8,0.5861926943131109
broad,S8r,top20,8,0.6861687494117393
broad,S8r,ewall,8,0.6807930125120778
broad,S8r,SPY,8,0.5559907478790359
broad,S9,v1,9,0.6259133456228686
broad,S9,top20,9,0.7426913296608938
broad,S9,ewall,9,0.7497282223567944
broad,S9,SPY,9,0.6351821804995426
