panel,estimator,n,rho_resid,rho_maxdd,rho_beta,slope_is,intercept_is
U56,FULL,112,0.43734887567568587,0.9495685038481917,0.9685847395111257,-0.1941956737592569,-0.019298706669924275
U56,DOWN,112,0.5403917143758881,0.9495685038481917,0.9403267854866154,-0.18727994117417146,-0.02495811806486047
U56,ROLL,112,0.17808769652939715,0.9495685038481917,0.9869166704522889,-0.19514863231836593,-0.004422350591916764
U56,DDWIN,52,0.7442289491812516,0.9743076558555864,0.9104274510983185,-0.14496859979984372,-0.03236695980096565
B136,FULL,112,0.5359923215663116,0.9588119696730595,0.9627045722775223,-0.2046774462676712,-0.01298119890398165
B136,DOWN,112,0.5421063998942488,0.9588119696730595,0.950322602330379,-0.19984080244086364,-0.018499111697777057
B136,ROLL,112,0.18783381063168975,0.9588119696730595,0.97955505634192,-0.19095847410763325,-0.004157271612654227
B136,DDWIN,56,-0.1389269145949782,0.964070663004659,0.9077126721818236,-0.1823524051172886,-0.0060941199932820515
SMALL,FULL,112,0.34281516066442386,0.9017223252718989,0.9577676255267765,-0.2382024267147343,-0.01784313454833829
SMALL,DOWN,112,0.5663627736580095,0.9017223252718989,0.9312020139987183,-0.23628622443561972,-0.021977359882171844
SMALL,ROLL,112,0.5642002957438587,0.9017223252718989,0.9588541546815189,-0.2356059000307094,-0.01760240338684796
SMALL,DDWIN,112,0.5903540600092094,0.9017223252718989,0.7445873156908784,-0.21961622962034674,-0.030631698628810416
