ladder,arm,char,transform,direction,selector,q,draw,n_stratum,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,anchor_OOS_S,anchor_OOS_DD,beats_anchor,pctS_EXACT,pctS_RESAMP2000,pctS_STRAT,pctS_PERMSEL,pctD_EXACT,pctD_RESAMP2000,pctD_STRAT,pctD_PERMSEL,perm_mean_S
INHERITED,EWall,breadth,none,+,SEL-breadth+|none,0.05,2,8,0.961883941680305,0.9330115873576128,0.1057675569859561,-0.2052687985470422,0.6572426538692143,-0.28589963252982387,True,0.8273809523809523,0.8345,0.25,0.24,0.8214285714285714,0.8215,0.5,0.545,1.0602529031635746
INHERITED,EWall,breadth,none,-,SEL-breadth-|none,1.0,4,8,-0.1821899646432284,0.1153180733493333,0.0039456511444517,-0.4978864604959756,0.6572426538692143,-0.28589963252982387,False,0.041666666666666664,0.034,0.5,0.42,0.017857142857142856,0.0155,0.375,0.36,0.24184777577518018
INHERITED,EWall,breadth,dm,+,SEL-breadth+|dm,0.7,2,8,0.4938599431396168,0.2804904410912066,0.0287186621769452,-0.3907765538722921,0.6572426538692143,-0.28589963252982387,False,0.10714285714285714,0.1035,0.125,0.14,0.10119047619047619,0.0975,0.125,0.14,0.5220832568163202
INHERITED,EWall,breadth,dm,-,SEL-breadth-|dm,0.4,7,8,1.0088590477139283,0.7855254948948452,0.1012822062750036,-0.2864586471057578,0.6572426538692143,-0.28589963252982387,True,0.6547619047619048,0.6565,0.75,0.765,0.4523809523809524,0.466,0.25,0.235,0.7481687667401233
INHERITED,EWall,breadth,residx,+,SEL-breadth+|residx,0.7,2,8,0.4938599431396168,0.2804904410912066,0.0287186621769452,-0.3907765538722921,0.6572426538692143,-0.28589963252982387,False,0.10714285714285714,0.1035,0.125,0.145,0.10119047619047619,0.0975,0.125,0.14,0.5216877279488251
INHERITED,EWall,breadth,residx,-,SEL-breadth-|residx,0.4,7,8,1.0088590477139283,0.7855254948948452,0.1012822062750036,-0.2864586471057578,0.6572426538692143,-0.28589963252982387,True,0.6547619047619048,0.6565,0.75,0.775,0.4523809523809524,0.466,0.25,0.24,0.7451686353951898
INHERITED,EWall,breadth,ratio,+,SEL-breadth+|ratio,0.05,2,8,0.961883941680305,0.9330115873576128,0.1057675569859561,-0.2052687985470422,0.6572426538692143,-0.28589963252982387,True,0.8273809523809523,0.8345,0.25,0.175,0.8214285714285714,0.8215,0.5,0.59,1.0386276883223675
INHERITED,EWall,breadth,ratio,-,SEL-breadth-|ratio,1.0,4,8,-0.1821899646432284,0.1153180733493333,0.0039456511444517,-0.4978864604959756,0.6572426538692143,-0.28589963252982387,False,0.041666666666666664,0.034,0.5,0.705,0.017857142857142856,0.0155,0.375,0.61,0.18214822472228462
INHERITED,EWall,disp,none,+,SEL-disp+|none,0.9,2,8,0.3809504517610376,0.6788300100482391,0.1027687986861962,-0.3329217288998671,0.6572426538692143,-0.28589963252982387,True,0.49404761904761907,0.498,0.875,0.86,0.2261904761904762,0.23,0.625,0.59,0.3438446217952516
INHERITED,EWall,disp,none,-,SEL-disp-|none,0.0,7,8,1.001858927208433,0.971946206670566,0.1129316717810098,-0.2122363848816076,0.6572426538692143,-0.28589963252982387,True,0.8809523809523809,0.888,0.375,0.325,0.8035714285714286,0.803,0.875,0.86,0.9988042769562707
INHERITED,EWall,disp,dm,+,SEL-disp+|dm,0.25,3,8,1.159808757363259,0.7682724831365769,0.0974401170782144,-0.2707197966184628,0.6572426538692143,-0.28589963252982387,True,0.625,0.629,0.375,0.365,0.5833333333333334,0.5905,0.375,0.365,0.8366419375151469
INHERITED,EWall,disp,dm,-,SEL-disp-|dm,0.9,5,8,-0.0137001220451346,-0.0439173246992801,-0.0217891495893881,-0.4410567404223376,0.6572426538692143,-0.28589963252982387,False,0.005952380952380952,0.004,0.125,0.135,0.03571428571428571,0.032,0.125,0.135,0.3597741078193338
INHERITED,EWall,disp,residx,+,SEL-disp+|residx,0.9,2,8,0.3809504517610376,0.6788300100482391,0.1027687986861962,-0.3329217288998671,0.6572426538692143,-0.28589963252982387,True,0.49404761904761907,0.498,0.875,0.25,0.2261904761904762,0.23,0.625,0.135,0.8318086340275329
INHERITED,EWall,disp,residx,-,SEL-disp-|residx,0.9,5,8,-0.0137001220451346,-0.0439173246992801,-0.0217891495893881,-0.4410567404223376,0.6572426538692143,-0.28589963252982387,False,0.005952380952380952,0.004,0.125,0.135,0.03571428571428571,0.032,0.125,0.135,0.3590788521010891
INHERITED,EWall,disp,ratio,+,SEL-disp+|ratio,0.9,2,8,0.3809504517610376,0.6788300100482391,0.1027687986861962,-0.3329217288998671,0.6572426538692143,-0.28589963252982387,True,0.49404761904761907,0.498,0.875,0.955,0.2261904761904762,0.23,0.625,0.185,0.36713750851757126
INHERITED,EWall,disp,ratio,-,SEL-disp-|ratio,0.0,7,8,1.001858927208433,0.971946206670566,0.1129316717810098,-0.2122363848816076,0.6572426538692143,-0.28589963252982387,True,0.8809523809523809,0.888,0.375,0.42,0.8035714285714286,0.803,0.875,0.885,0.9810358473513286
INHERITED,EWall,corr,none,+,SEL-corr+|none,0.05,2,8,0.961883941680305,0.9330115873576128,0.1057675569859561,-0.2052687985470422,0.6572426538692143,-0.28589963252982387,True,0.8273809523809523,0.8345,0.25,0.305,0.8214285714285714,0.8215,0.5,0.55,1.0533930839554821
INHERITED,EWall,corr,none,-,SEL-corr-|none,0.95,2,8,0.4285158229294817,0.0821494714150806,-0.0002195047817267,-0.4177523269986918,0.6572426538692143,-0.28589963252982387,False,0.023809523809523808,0.019,0.125,0.15,0.047619047619047616,0.0455,0.25,0.255,0.24625292257802833
INHERITED,EWall,corr,dm,+,SEL-corr+|dm,0.25,2,8,0.9846390453460214,0.6258195848755351,0.083126844694529,-0.363562898513198,0.6572426538692143,-0.28589963252982387,False,0.39880952380952384,0.402,0.125,0.115,0.16666666666666666,0.166,0.125,0.115,0.8289099821513197
INHERITED,EWall,corr,dm,-,SEL-corr-|dm,0.5,0,8,0.8438196432165357,0.6405120616954454,0.0801730922094632,-0.2948530079617496,0.6572426538692143,-0.28589963252982387,False,0.42857142857142855,0.4355,0.5,0.49,0.4166666666666667,0.43,0.5,0.555,0.6827579841936182
INHERITED,EWall,corr,residx,+,SEL-corr+|residx,0.25,2,8,0.9846390453460214,0.6258195848755351,0.083126844694529,-0.363562898513198,0.6572426538692143,-0.28589963252982387,False,0.39880952380952384,0.402,0.125,0.15,0.16666666666666666,0.166,0.125,0.12,0.8136992555794476
INHERITED,EWall,corr,residx,-,SEL-corr-|residx,0.5,0,8,0.8438196432165357,0.6405120616954454,0.0801730922094632,-0.2948530079617496,0.6572426538692143,-0.28589963252982387,False,0.42857142857142855,0.4355,0.5,0.535,0.4166666666666667,0.43,0.5,0.555,0.6584138448290849
INHERITED,EWall,corr,ratio,+,SEL-corr+|ratio,0.05,2,8,0.961883941680305,0.9330115873576128,0.1057675569859561,-0.2052687985470422,0.6572426538692143,-0.28589963252982387,True,0.8273809523809523,0.8345,0.25,0.185,0.8214285714285714,0.8215,0.5,0.735,1.0155488800329326
INHERITED,EWall,corr,ratio,-,SEL-corr-|ratio,1.0,4,8,-0.1821899646432284,0.1153180733493333,0.0039456511444517,-0.4978864604959756,0.6572426538692143,-0.28589963252982387,False,0.041666666666666664,0.034,0.5,0.635,0.017857142857142856,0.0155,0.375,0.485,0.17170435882439478
INHERITED,EWall,evol,none,+,SEL-evol+|none,1.0,6,8,-0.0395275841923519,0.0879049965949239,0.0002227439890694,-0.3948014308778702,0.6572426538692143,-0.28589963252982387,False,0.02976190476190476,0.024,0.25,0.33,0.07738095238095238,0.0715,0.75,0.785,0.19553504690853513
INHERITED,EWall,evol,none,-,SEL-evol-|none,0.1,2,8,1.0962409077817028,0.89715569130727,0.0999115144642857,-0.1647820214450238,0.6572426538692143,-0.28589963252982387,True,0.7797619047619048,0.7885,0.625,0.64,1.0,1.0,1.0,1.0,0.8825626718951023
INHERITED,EWall,evol,dm,+,SEL-evol+|dm,1.0,6,8,-0.0395275841923519,0.0879049965949239,0.0002227439890694,-0.3948014308778702,0.6572426538692143,-0.28589963252982387,False,0.02976190476190476,0.024,0.25,0.33,0.07738095238095238,0.0715,0.75,0.785,0.19553504690853513
INHERITED,EWall,evol,dm,-,SEL-evol-|dm,0.8,5,8,1.042912300501894,0.2400293521874442,0.0241955576152721,-0.3066648199154314,0.6572426538692143,-0.28589963252982387,False,0.08928571428571429,0.0835,0.25,0.28,0.3273809523809524,0.335,0.625,0.6,0.43081195221277807
INHERITED,EWall,evol,residx,+,SEL-evol+|residx,1.0,6,8,-0.0395275841923519,0.0879049965949239,0.0002227439890694,-0.3948014308778702,0.6572426538692143,-0.28589963252982387,False,0.02976190476190476,0.024,0.25,0.33,0.07738095238095238,0.0715,0.75,0.78,0.19823578850497142
INHERITED,EWall,evol,residx,-,SEL-evol-|residx,0.75,0,8,0.8638824708623655,0.5163957135318624,0.0662592358134179,-0.3255928322714541,0.6572426538692143,-0.28589963252982387,False,0.2976190476190476,0.299,0.375,0.76,0.25595238095238093,0.263,0.5,0.155,0.4077161352685549
