panel,chooser,N,draw,band,IS_Sharpe,IS_XRATE,pred_cost_pp,realised_O_dCAGR_pp,O_CAGR,O_Sharpe,O_MaxDD,O_twin_Sharpe,O_twin_MaxDD,O_keep4a,O_keep4b,leg_H1,leg_H2,leg_DD,leg_CAGR,live_O_CAGR,live_O_Sharpe,live_O_MaxDD,spy_O_CAGR,spy_O_Sharpe,spy_O_MaxDD,base_mean_O_Sharpe,base_share_4b_O
U56,C_WHIP,20,8,0.03,0.7842053306745131,1.6663565735549242,-0.30749138291404543,-0.5812590714870725,0.06630258549004409,0.9590487718212748,-0.11513492031178374,0.9032330923902381,-0.17610446864668605,False,False,True,False,True,False,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2101625438610903,0.12244897959183673
U56,C_XRATE,20,0,0.03,0.8971823730364521,1.6587207930139247,-1.6875301208319466,-0.7236309745016767,0.0872653674695667,1.251920520826909,-0.11230133491091854,1.147400099889359,-0.1592548326190225,False,False,True,True,True,False,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2101625438610903,0.12244897959183673
U56,C_SHARPE,20,18,0.03,1.280889673099592,1.9070347485970183,-2.3321650137486274,-0.1454407009090719,0.10850752976475309,1.1994708924186464,-0.1475248481020618,1.0496775257886957,-0.20539352759224994,False,True,True,True,True,True,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2101625438610903,0.12244897959183673
U56,C_LIVE,56,0,0.03,1.1045450932922083,1.8494051970492458,-1.3539922281230885,-0.1315256787905339,0.0945517936976279,1.2768823974588255,-0.12054956914840875,1.1269434315419713,-0.16254925130861153,False,False,True,True,True,False,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2101625438610903,0.12244897959183673
B136,C_WHIP,20,14,0.03,1.0141330413763665,1.9271667880553534,-0.7137150836202705,-1.2316044052882003,0.06266943367353872,0.9066868762273645,-0.10168023717188834,0.9285587515006878,-0.17237560733576984,False,False,True,True,True,False,0.07847283605551292,1.1019125044197382,-0.12241069123223403,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.051561584302193,0.0
B136,C_XRATE,20,16,0.03,1.5331584183222366,1.6258064516129034,-1.632332397145063,-1.893970149973434,0.06228878057260312,0.9108650966443906,-0.11360468848853567,0.9700723704219776,-0.1547712389936735,False,False,True,False,True,False,0.07847283605551292,1.1019125044197382,-0.12241069123223403,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.051561584302193,0.0
B136,C_SHARPE,20,16,0.03,1.5331584183222366,1.6258064516129034,-1.632332397145063,-1.893970149973434,0.06228878057260312,0.9108650966443906,-0.11360468848853567,0.9700723704219776,-0.1547712389936735,False,False,True,False,True,False,0.07847283605551292,1.1019125044197382,-0.12241069123223403,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.051561584302193,0.0
B136,C_LIVE,136,0,0.03,1.09244515350567,1.975850867421262,-2.1168760914441243,-1.9376912035895755,0.07847283605551292,1.1019125044197382,-0.12241069123223425,1.088287900663192,-0.1866595740613527,False,False,True,True,True,False,0.07847283605551292,1.1019125044197382,-0.12241069123223403,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.051561584302193,0.0
SMALL,C_WHIP,20,12,0.03,1.026933433926616,2.026848744358292,1.6139812502065276,-0.9794454176189848,0.06874034298487164,0.7252307836186924,-0.17784897224314522,0.7345621292372188,-0.2453872236966429,False,False,True,False,True,False,0.044142357735165394,0.6473415936678043,-0.12480015905893527,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.49945491265014913,0.0
SMALL,C_XRATE,20,12,0.03,1.026933433926616,2.026848744358292,1.6139812502065276,-0.9794454176189848,0.06874034298487164,0.7252307836186924,-0.17784897224314522,0.7345621292372188,-0.2453872236966429,False,False,True,False,True,False,0.044142357735165394,0.6473415936678043,-0.12480015905893527,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.49945491265014913,0.0
SMALL,C_SHARPE,20,16,0.03,1.3600239593662171,2.721579164944192,-2.0029634591473733,-2.5340691688309436,0.02016361267671396,0.27089332037761293,-0.21741815409857002,0.4309047961198867,-0.26525698243383067,False,False,False,False,False,False,0.044142357735165394,0.6473415936678043,-0.12480015905893527,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.49945491265014913,0.0
SMALL,C_LIVE,665,0,0.03,0.8753608558401499,2.705715810726138,-1.8589725259010192,-2.099951487276819,0.036280008883579296,0.5447740088754679,-0.14161687822607505,0.5967322335585301,-0.22460944377153436,False,False,False,False,True,False,0.044142357735165394,0.6473415936678043,-0.12480015905893527,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.49945491265014913,0.0
