panel,regset,n,R2,adjR2,beta_GATEOUT,beta_XRATE,beta_RECOV
B136,G,97,0.17478993913837038,0.1661035174450901,0.18921080670756157,,
B136,X,97,0.2500513385475138,0.2421571421111719,,-0.22630925431191648,
B136,R,97,0.08648432181271093,0.07686836730547619,,,-0.13309336756744092
B136,GXR,97,0.6448244943238695,0.63336721994722,0.29182105319468266,-0.31242240060981474,-0.046239063821139306
SMALL,G,145,0.02017855587520334,0.013326657664540553,0.0844619125127981,,
SMALL,X,145,0.18792973222932174,0.1822509191679884,,-0.2577588691700556,
SMALL,R,145,0.012738509770058526,0.0058345832649540075,,,0.06710813701087022
SMALL,GXR,145,0.35959168207259407,0.3459659731805216,0.2272194094170083,-0.37408690928764016,0.1715506298841092
U56,G,49,0.6150094295941404,0.6068181408621008,0.4075628035360166,,
U56,X,49,0.02316199824968601,0.0023782109784027394,,0.07909365877196972,
U56,R,49,0.019144531691148048,-0.0017247335920189677,,,-0.07190780421518488
U56,GXR,49,0.6482036908681466,0.6247506035926896,0.4331771697137233,-0.0799268212859145,-0.06741486823492758
