held,regset,n_train,n_test,R2_train,pred_mean,true_mean,bias,R2_oos_vs_own_mean,R2_oos_vs_train_mean,corr
U56,X,242,49,0.12136819797191156,-2.0203360294949424,-0.7036539227426503,-1.316682106752292,-6.400868140125104,-0.7847683213193886,0.1521906641344534
U56,GXR,242,49,0.5388029449096174,-1.113823858196368,-0.7036539227426503,-0.4101699354537177,-0.31574499850447735,0.6826993877200032,0.5639591921385825
B136,X,194,97,0.266191657044095,-0.8474397758599312,-1.9724635433741733,1.125023767514242,-6.073062396061815,-0.8761614333970735,0.5000513359121382
B136,GXR,194,97,0.4758588115973569,-1.5496552461165334,-1.9724635433741733,0.4228082972576399,-0.3319846554838606,0.6466851131008081,0.7560393214150631
SMALL,X,146,145,0.5648739855126109,-4.9633493628952206,-1.3934703234874963,-3.5698790394077244,-35.955848055482804,-33.656310667025636,0.43350862993638506
SMALL,GXR,146,145,0.8232115336034874,-0.7727281946040974,-1.3934703234874963,0.620742128883399,-1.2755288988135551,-1.1339365918671525,0.3922307903832516
