scope,n,spearman_pred_vs_OOS_dCAGR,spearman_ISxrate_vs_OOS_dCAGR
B136,97,0.47395066273932246,-0.15502051335998315
SMALL,145,0.12364588253818296,0.10483782081561958
U56,49,0.4337755102040816,0.4678571428571428
POOLED,291,0.34877890810279094,-0.4021582768847182
