window,regset,n,IS_R2,IS_adjR2
21,X,291,0.017234129184682145,0.013833555237224293
21,GXR,291,0.5736934104062992,0.5692372439645532
63,X,291,0.017234129184682145,0.013833555237224293
63,GXR,291,0.5701210740437136,0.5656275661068884
126,X,291,0.017234129184682145,0.013833555237224293
126,GXR,291,0.5657675824262773,0.5612285676084335
