filing_date,transaction_date,owner,relationship,security,table,code,acquired_disposed,shares,price,shares_owned_after,accession
2025-09-30,2025-09-28,Adams Katherine L.,"Officer; SVP, GC and Secretary",Restricted Stock Unit,derivative,A,A,48932,0,48932,0001462356-25-000008
2025-09-30,2025-09-28,Adams Katherine L.,"Officer; SVP, GC and Secretary",Restricted Stock Unit,derivative,A,A,48932,0,48932,0001462356-25-000008
2025-09-30,2025-09-28,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Restricted Stock Unit,derivative,A,A,48932,0,48932,0001214156-25-000009
2025-09-30,2025-09-28,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Restricted Stock Unit,derivative,A,A,146795,0,146795,0001214156-25-000009
2025-09-30,2025-09-28,Khan Sabih,Officer; COO,Restricted Stock Unit,derivative,A,A,48932,0,48932,0002078476-25-000003
2025-09-30,2025-09-28,Khan Sabih,Officer; COO,Restricted Stock Unit,derivative,A,A,48932,0,48932,0002078476-25-000003
2025-09-30,2025-09-28,O'BRIEN DEIRDRE,Officer; Senior Vice President,Restricted Stock Unit,derivative,A,A,48932,0,48932,0001767094-25-000007
2025-09-30,2025-09-28,O'BRIEN DEIRDRE,Officer; Senior Vice President,Restricted Stock Unit,derivative,A,A,48932,0,48932,0001767094-25-000007
2025-09-30,2025-09-28,Parekh Kevan,"Officer; Senior Vice President, CFO",Restricted Stock Unit,derivative,A,A,48932,0,48932,0002050912-25-000006
2025-09-30,2025-09-28,Parekh Kevan,"Officer; Senior Vice President, CFO",Restricted Stock Unit,derivative,A,A,48932,0,48932,0002050912-25-000006
2025-10-03,2025-10-01,Adams Katherine L.,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,M,A,92403,,271561,0001462356-25-000010
2025-10-03,2025-10-01,Adams Katherine L.,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,F,D,45278,255.45,226283,0001462356-25-000010
2025-10-03,2025-10-01,Adams Katherine L.,"Officer; SVP, GC and Secretary",Restricted Stock Unit,derivative,M,D,92403,,0,0001462356-25-000010
2025-10-03,2025-10-01,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,M,A,277206,,3557501,0001214156-25-000011
2025-10-03,2025-10-01,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,F,D,147243,255.45,3410258,0001214156-25-000011
2025-10-03,2025-10-01,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Restricted Stock Unit,derivative,M,D,277206,,0,0001214156-25-000011
2025-10-03,2025-10-01,Khan Sabih,Officer; COO,Common Stock,non-derivative,M,A,92403,,1092162,0002078476-25-000005
2025-10-03,2025-10-01,Khan Sabih,Officer; COO,Common Stock,non-derivative,F,D,49390,255.45,1042772,0002078476-25-000005
2025-10-03,2025-10-01,Khan Sabih,Officer; COO,Restricted Stock Unit,derivative,M,D,92403,,0,0002078476-25-000005
2025-10-03,2025-10-01,O'BRIEN DEIRDRE,Officer; Senior Vice President,Common Stock,non-derivative,M,A,92403,,229090,0001767094-25-000009
2025-10-03,2025-10-01,O'BRIEN DEIRDRE,Officer; Senior Vice President,Common Stock,non-derivative,F,D,49390,255.45,179700,0001767094-25-000009
2025-10-03,2025-10-01,O'BRIEN DEIRDRE,Officer; Senior Vice President,Restricted Stock Unit,derivative,M,D,92403,,0,0001767094-25-000009
2025-10-03,2025-10-02,Adams Katherine L.,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,S,D,3500,254.83,222783,0001462356-25-000010
2025-10-03,2025-10-02,Adams Katherine L.,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,S,D,8100,255.96,214683,0001462356-25-000010
2025-10-03,2025-10-02,Adams Katherine L.,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,S,D,13974,256.60,200709,0001462356-25-000010
2025-10-03,2025-10-02,Adams Katherine L.,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,S,D,21551,257.54,179158,0001462356-25-000010
2025-10-03,2025-10-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,8395,254.83,3401863,0001214156-25-000011
2025-10-03,2025-10-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,22524,255.86,3379339,0001214156-25-000011
2025-10-03,2025-10-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,39293,256.62,3340046,0001214156-25-000011
2025-10-03,2025-10-02,COOK TIMOTHY D,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,S,D,59751,257.57,3280295,0001214156-25-000011
2025-10-03,2025-10-02,O'BRIEN DEIRDRE,Officer; Senior Vice President,Common Stock,non-derivative,S,D,41273,257.36,138427,0001767094-25-000009
2025-10-03,2025-10-02,O'BRIEN DEIRDRE,Officer; Senior Vice President,Common Stock,non-derivative,S,D,1740,258.08,136687,0001767094-25-000009
2025-10-17,2025-10-15,KONDO CHRIS,Officer; Principal Accounting Officer,Common Stock,non-derivative,M,A,7371,,22469,0001631982-25-000009
2025-10-17,2025-10-15,KONDO CHRIS,Officer; Principal Accounting Officer,Common Stock,non-derivative,F,D,3619,249.34,18850,0001631982-25-000009
2025-10-17,2025-10-15,KONDO CHRIS,Officer; Principal Accounting Officer,Restricted Stock Unit,derivative,M,D,1914,,0,0001631982-25-000009
2025-10-17,2025-10-15,KONDO CHRIS,Officer; Principal Accounting Officer,Restricted Stock Unit,derivative,M,D,2077,,4155,0001631982-25-000009
2025-10-17,2025-10-15,KONDO CHRIS,Officer; Principal Accounting Officer,Restricted Stock Unit,derivative,M,D,1898,,7593,0001631982-25-000009
2025-10-17,2025-10-15,KONDO CHRIS,Officer; Principal Accounting Officer,Restricted Stock Unit,derivative,M,D,1482,,8890,0001631982-25-000009
2025-10-17,2025-10-15,Parekh Kevan,"Officer; Senior Vice President, CFO",Common Stock,non-derivative,M,A,16457,,21026,0002050912-25-000008
2025-10-17,2025-10-15,Parekh Kevan,"Officer; Senior Vice President, CFO",Common Stock,non-derivative,F,D,8062,249.34,12964,0002050912-25-000008
2025-10-17,2025-10-15,Parekh Kevan,"Officer; Senior Vice President, CFO",Restricted Stock Unit,derivative,M,D,5530,,0,0002050912-25-000008
2025-10-17,2025-10-15,Parekh Kevan,"Officer; Senior Vice President, CFO",Restricted Stock Unit,derivative,M,D,5816,,11633,0002050912-25-000008
2025-10-17,2025-10-15,Parekh Kevan,"Officer; Senior Vice President, CFO",Restricted Stock Unit,derivative,M,D,5111,,20442,0002050912-25-000008
2025-10-17,2025-10-16,Parekh Kevan,"Officer; Senior Vice President, CFO",Common Stock,non-derivative,S,D,500,245.89,12464,0002050912-25-000008
2025-10-17,2025-10-16,Parekh Kevan,"Officer; Senior Vice President, CFO",Common Stock,non-derivative,S,D,1665,247.04,10799,0002050912-25-000008
2025-10-17,2025-10-16,Parekh Kevan,"Officer; Senior Vice President, CFO",Common Stock,non-derivative,S,D,1534,247.82,9265,0002050912-25-000008
2025-10-17,2025-10-16,Parekh Kevan,"Officer; Senior Vice President, CFO",Common Stock,non-derivative,S,D,500,248.73,8765,0002050912-25-000008
2025-11-12,2025-11-07,KONDO CHRIS,Officer; Principal Accounting Officer,Common Stock,non-derivative,S,D,3752,271.23,15098,0001631982-25-000011
2025-11-14,2025-11-12,Adams Katherine L.,"Officer; SVP, GC and Secretary",Common Stock,non-derivative,G,D,3750,0,175408,0001462356-25-000012
2026-02-03,2026-02-01,Austin Wanda M,Director,Common Stock,non-derivative,M,A,1255,,2843,0001690882-26-000002
2026-02-03,2026-02-01,Austin Wanda M,Director,Restricted Stock Unit,derivative,M,D,1255,,0,0001690882-26-000002
2026-02-03,2026-02-01,Gorsky Alex,Director,Common Stock,non-derivative,M,A,1255,,6794,0001453149-26-000003
2026-02-03,2026-02-01,Gorsky Alex,Director,Restricted Stock Unit,derivative,M,D,1255,,0,0001453149-26-000003
2026-02-03,2026-02-01,JUNG ANDREA,Director,Common Stock,non-derivative,M,A,1255,,77260,0001051401-26-000002
2026-02-03,2026-02-01,JUNG ANDREA,Director,Restricted Stock Unit,derivative,M,D,1255,,0,0001051401-26-000002
