panel,chooser,pick0,n_years,n_changed,picks,oos4b_0,oos4b_changed,oos_sharpe_span
U56,C_SHARPE,PICK,8,1,"EW100,PICK",True,1,0.06756642475885011
U56,C_MEMO,PARK,8,2,"LIVE,PARK",True,2,0.14996906245408992
U56,C_CAGR,PICK,8,4,"PARK,PICK",True,0,0.06708698235571475
U56,C_ANCHOR,LIVE,8,0,LIVE,False,0,0.0
B136,C_SHARPE,EW100,8,4,"EW100,PICK",False,4,0.0018850628096718225
B136,C_MEMO,PICK,8,1,"PARK,PICK",True,1,0.00022254377179997675
B136,C_CAGR,PICK,8,1,"PARK,PICK",True,1,0.00022254377179997675
B136,C_ANCHOR,LIVE,8,0,LIVE,False,0,0.0
SMALL,C_SHARPE,EW100,6,4,"EW050,EW100,PICK",False,0,0.012966527007255202
SMALL,C_MEMO,LIVE,6,4,"LIVE,PICK",False,0,0.03823297241927692
SMALL,C_CAGR,PICK,6,0,PICK,False,0,0.0
SMALL,C_ANCHOR,LIVE,6,0,LIVE,False,0,0.0
