panel,book,drift0,lo,hi,span,n_flip,flip_years
U56,LIVE,0.1723373041666172,-0.005716309137139275,0.3965383185870267,0.402254627724166,1,2011
U56,PICK,0.04800149798991882,-0.14773106014478166,0.26910647298865953,0.4168375331334412,6,"2011,2012,2017,2021,2023,2024"
U56,PARK,0.017374685269572643,-0.18302707240165628,0.3387187564033003,0.5217458288049566,9,"2011,2015,2017,2019,2021,2023,2024,2025,2026"
U56,EW100,0.014573656687215664,-0.1860911654843811,0.33336209699499264,0.5194532624793737,10,"2011,2014,2015,2017,2019,2021,2023,2024,2025,2026"
U56,EW050,0.018536323258414367,-0.18174635435201725,0.3409267545159913,0.5226731088680086,9,"2011,2015,2017,2019,2021,2023,2024,2025,2026"
B136,LIVE,0.00946735091406814,-0.14807372554746778,0.25869858510047383,0.4067723106479416,10,"2010,2011,2012,2015,2017,2019,2021,2023,2024,2026"
B136,PICK,-0.05976080434450215,-0.21369827277668785,0.18296128734449413,0.396659560121182,5,"2009,2013,2018,2020,2022"
B136,PARK,-0.05749275882970206,-0.22621759716942802,0.17713781265096507,0.4033554098203931,5,"2009,2013,2018,2020,2022"
B136,EW100,-0.06274618591385472,-0.23139886364616036,0.16970201603157697,0.40110087967773733,5,"2009,2013,2018,2020,2022"
B136,EW050,-0.05531642341167253,-0.22405765949328438,0.18018750592112642,0.4042451654144108,5,"2009,2013,2018,2020,2022"
SMALL,LIVE,-0.3296214113437912,-0.6819167708782918,0.18928278790502295,0.8711995587833148,1,2013
SMALL,PICK,-0.38889334347967586,-0.7138574147731311,0.10239355458077576,0.8162509693539068,1,2013
SMALL,PARK,-0.38553620498113195,-0.7778543133505897,-0.06618881085443495,0.7116655024961548,0,-
SMALL,EW100,-0.38827172072978966,-0.778607739958351,-0.06942301878883617,0.7091847211695148,0,-
SMALL,EW050,-0.38438213245778163,-0.7775349284717123,-0.06483759065941752,0.7126973378122948,0,-
