panel,book,drift0,null_sd,drift_t,max_abs_z,n_z_gt2,worst_year,null_4b_move_rate
U56,LIVE,0.1723373041666172,0.09763170392654728,1.7651776752383046,2.2963955908122426,1,2013,0.0
U56,PICK,0.04800149798991882,0.10619219461619107,0.4520247289681689,2.0821207791954697,1,2013,0.006
U56,PARK,0.017374685269572643,0.10410954488534434,0.16688849508186165,3.0865956765791585,1,2022,0.05
U56,EW100,0.014573656687215664,0.1039065858674086,0.140257295199869,3.068029207643982,1,2022,0.0
U56,EW050,0.018536323258414367,0.10419065449914636,0.17790773411991798,3.094235589624963,1,2022,0.0
B136,LIVE,0.00946735091406814,0.10064377253388453,0.09406792567201008,2.4763701509946388,2,2013,0.0
B136,PICK,-0.05976080434450215,0.10955479739451085,-0.5454877902726732,2.2155313821168883,1,2013,0.018
B136,PARK,-0.05749275882970206,0.10149445516681148,-0.5664620666735901,2.3117575348824664,1,2022,0.076
B136,EW100,-0.06274618591385472,0.1014372771789683,-0.6185712753621144,2.291546149600581,1,2022,0.0
B136,EW050,-0.05531642341167253,0.1015188334721767,-0.5448882884064377,2.319805313733669,1,2022,0.0
SMALL,LIVE,-0.3296214113437912,0.17099518318954474,-1.9276648920479382,3.0346129614283885,2,2013,0.0
SMALL,PICK,-0.38889334347967586,0.16171549422908907,-2.4047995235927275,3.0379704826829133,2,2013,0.0
SMALL,PARK,-0.38553620498113195,0.14135639944898293,-2.7274053844323913,2.775382719839647,2,2011,0.0
SMALL,EW100,-0.38827172072978966,0.14101493255427994,-2.7534085482779265,2.7680474128391466,2,2011,0.0
SMALL,EW050,-0.38438213245778163,0.1414880436613362,-2.716711055655228,2.778699781551689,2,2011,0.0
